Professor,Semester,Rating,Text
양진규,24년 1학기 수강자,100%,3학점 꿀강의. 출석도 지정횟수만큼 빠져도 되고 수업 내용 자체도 흥미로움.
양진규,24년 1학기 수강자,100%,공대 광역 학생들만 들을 수 있는 말도 수업이고 관악 최고의 강의가 아닐까요? 전공 3학점에 출석 조금만 하면 s!
양진규,24년 1학기 수강자,100%,"전선 3학점 낭낭하게 가져갑니다
출석 못해도 조교님이 재량껏 봐주시는 경우가 있습니다"
양진규,24년 1학기 수강자,100%,"가만히 있기만 해도 3학점이 채워지는 마법
공대광역만의 특권"
양진규,24년 1학기 수강자,100%,공대광역 학생분들 도망치지 말고 열심히 들어주세요ㅠㅜ
양진규,24년 1학기 수강자,100%,5번이나 빠질 수 있습니다. 출튀 걸려도 봐줍니다 ㅋㅋㅋ
양진규,24년 1학기 수강자,100%,"공대 광역 화이팅
3학점을 채우는 가장 완벽한 방법"
최장욱,23년 1학기 수강자,100%,"그저 날먹

전공 선택에 많은 도움이 되는지는 모르겠으나 공짜 학점이니 뭐 .."
최장욱,23년 1학기 수강자,100%,"날먹임

다양한 과에 대한 정보를 얻을 수 있어서 좋았음
과제는 없다고 봐도 무방하고 출석만 잘하면 S임"
최장욱,23년 1학기 수강자,100%,그냥 아무것도 안하고 과 친구들과 얼굴 트면서 지내다보면 3학점이 들어오는 꿀강 그자체
최장욱,23년 1학기 수강자,100%,"1. 이강의 하나만으로 광역을 올 가치가 있습니다
2. 출석은 근데 나중에 귀찮아지지 않으려면 어지간해선 개근하는게 좋습니다. 통학하면 학교 공전탐 하는 날엔 좀 일찍 오는게 좋습니다
3. 참고로 올해 공전탐은 화목 하는 날이 그때그때 달랐어서 실제론 대부분 수업에서 주 2회가 아니라 주1회였습니다(예외인 주가 있었긴 해요). 근데 이걸 알고 시간표 짜려해도 아마 들어야할 수업이 많아서 의미가 없긴 할거에요"
최장욱,23년 1학기 수강자,100%,학과마다 교수님들께서 오셔서 설명해 주시는데 잘 모르던 분야에서도 알아가는 게 많아서 좋았고 수업만 잘 나와서 들으면 됩니다
최장욱,23년 1학기 수강자,100%,공전탐 그는 신인가!!! 공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!공전탐 그는 신인가!!!
