Professor,Semester,Rating,Text
노현정,23년 2학기 수강자,20%,"로드 적고 시험 준비 시간 적게 드는 건 맞습니다. 그렇지만 강의 자체를 생각했을 때는 정말 정말 부족한 부분이 많습니다.

일단 강의력이 제가 들어본 강의 중 가장 안 좋으십니다. 애초에 수업 내용에 대한 숙지 자체가 잘 안 되어 계신 것 같습니다. 현업과 관련되어 약간의 사전 이해도가 있으신 것 같지만 강의를 준비하지 않은 것이 여실히 느껴집니다. PPT를 보고 읽으면서 수업하시고, 강의자 본인도 읽으면서 이해해야지라는 마인드가 느껴집니다. 그마저도 겉햝기 식으로 대충 이해하시는 것 같습니다. PPT에 글자 그대로 적혀있는 내용 외의 질문이 나오면 정리되지 않은 혼란스러운 답을 자주 하십니다. 간혹 말씀하시는 시험 팁이나 문제 해석 기준 때문에 마냥 안듣기만 할 수도 없는게 굉장히 고통스럽습니다.

예제를 풀 때도 준비가 제대로 안되어 있어, 문제를 잘못 이해하시거나 개념 적용이 틀리는 경우도 많습니다. 학생들이 틀린 풀이에 질문을 드렸을 때 자주 헤매셔서 수업이 많이 지체됩니다. 솔직히 교수님이 학생을 이해시키는 수업인지 학생이 교수님을 이해시키는 수업인지 잘 모르겠을 정도입니다. 타의적 플립러닝이 된 것 같습니다.

그리고 항상 지각하십니다. 최소 5분, 가끔은 15분까지도 늦게 오십니다. 시험때도 지각으로 시간 줄어든 마당에 문제 설계 오류나 시험 도중 채점 기준 변경 등, 여러가지 혼선이 발생해 정말 어지러웠습니다. 시험 이후 문제 해설을 진행할 때도 모범 답안과 채점 기준이 명확하지 않았습니다. 그래서인지 굉장히 후하게 채점하셨지만(후하게 채점한 기준도 사실 납득이 어려웠음), 후하게 한 채점한 결과로 성적은 딱 잘라주셔서 결국 형평을 잃어버린 것 같습니다.

성적 강제 공개일에도 성적 공개가 되지 않아, 정말 말도 안되지만 이러다 전원 F 처리가 되는 건 아닐까 하는 생각이 들 정도로 평소 강의에 임하는 태도가 불성실하십니다. 다행히도 성적 입력 마감 6시간쯤 전에 성적이 떴네요..

제가 들을 때 강의 평점이 굉장히 높았어서 이럴 줄 전혀 예상 못했는데, 평점과 강의력에 괴리가 있다는 걸 알아두시길 바랍니다. 왜 그렇게들 후하게 평가하셨는지 의문일 지경입니다. 다시 돌아가면 절대 안 들을 것 같습니다."
노현정,23년 2학기 수강자,80%,"돈관리나 돈계산, 경제쪽을 좋아하고 전선과목 대충 로드적고 편한거 듣고싶다>>나쁘지 않은 선택

로드 많아도 많고, 실용적이고, 도움되는걸 배우고 싶다>>비추

난 경제쪽 관심많아서 수업 나쁘지 않앗음

학점은 시험을 실수도 안하고 개잘봣다고 생각해서 A+ 예상햇는데 A0나오긴함.(평균만 알려주고 통계량은 안알려주는데 점수도 높앗음). 근데 마지막 조별 프로잭트가 하위권이라 생각하긴함

근데 학점을 짜게 주는 건지, 사람이 적어서 그런건지, 조별과제에서 많이 까인건진 모르겟음."
노현정,23년 2학기 수강자,100%,"전공치고는 양이 적다.
개론 듣는다고 생각하면 된다.
로드 안빡세고 시험도 그다지 어렵지 않다.
성적은 그렇게까지 후하지는 않은듯."
노현정,23년 2학기 수강자,20%,"별 0개가 있으면 0개 주고 싶음.
걍 다 제쳐두고 강의를 듣는 이유가 없음. 수업이 유익하지도 않고 그렇다고 학점을 잘 주는 것도 아님. 학점에 크게 욕심내지는 않아서 학점 자체에는 크게 신경쓰지 않는 스타일이지만 밑에 강의평처럼 시험을 뭣같이 운영해놓고 그에 따른 성적으로 학점을 부과하는 게 말이 안된다고 생각합니다.
무언가 얻고싶은 분들도, 학점을 챙기고 싶은 분들도 걍 이 수업은 듣지 마세요."
노현정,23년 2학기 수강자,20%,"중간, 기말 다 시험날에 교수님 20분 넘게 늦으심 -> 1시간 15분 동안 풀 문제를 내셨으면서 실제 시험 시간 50분도 안됨
평소에도 지각 많이 하시는 교수님 (사실 이건 오히려좋아)
교수님이 과연 이 과목 내용을 알고 수업하시는게 맞나 싶은 강의력. 얼마나 심각하냐면 학생들이 교수님이 문제 풀이하실 때 틀린 점을 찝어줌ㅋㅋㅋㅋㅋ
기말 프로젝트는 공학 프로젝트의 경제성 평가를 직접 해야되는데 자료 수집하기도 어렵고 실무에서 하는걸 직접 하려니 꽤 빡센듯
그래도 학기 동안 배우는 내용이 많지 않아서 진도 설렁설렁 나가도 되고 시험 공부 할 것도 많이 없음, 출석도 랜덤이고 본인이 맨날 지각하셔서 그런지 지각은 체크 안함
+) 기말 시험 거의 끝날 때 쯤에 계산기 방정식 못푸는 사람은 식만 적어도 정답처리 선언. 이 과목 문제 특성 상 풀이 쓰는 시간보다 계산하는데 걸리는 시간이 더 많음ㅋㅋㅋ 지금까지 계산 한 사람들은 뭔 죄냐

매끄럽지 못한 수업 진행과 처망한 강의력 교수님의 태도까지 학점 A+ 뿌리셔도 1점 줄 것 같아서 성적 나오기 전에 씀"
노현정,23년 2학기 수강자,60%,"앗! 기말고사 시험 날 교수님이 20분 지각하시는 수업이 있다?!?!? 

과제 없고 시험 두 번에 학기말 그룹 프로젝트 하나 있음. 출석은 직접 호명하시는데 사람 좀 비어보인다 싶은날 랜덤으로 부르심. 시험 문제는 평이한 수준이고 문제도 몇개는 수업때 거의 대놓고 알려주심. 대신 그만큼 평균도 엄청 높음. 문제 한개 못풀면 바로 A 물건너갈듯. 매 수업때마다 5~15분씩 늦으시고 강의도 매끄럽지 못하다는 느낌을 많이 받았음.  거기에 화룡점정으로 기말 시험날 20분 지각하심....

학점은 아직 안나왔지만 꿀강이라는 명성에 비해서는 그저 그랬음.."
노현정,22년 2학기 수강자,80%,수업 내용이 흥미있긴 했는데 교수님 설명이... 강의를 듣기보단 같이 배운다는 느낌을 가끔 받아요. 시험은 ppt + 수업때 풀어주시는 문제 위주로 거의 다 나오고 어렵진 않습니다. 팀플이 조금 로드가 있는데 왠만하면 친한 사람 3명이서 같이 수강하는걸 추천합니다. 성적은 그럭저럭 잘 주시는 것 같습니다. 중간 & 기말 q2 등 정보를 안주셔서 잘은 모르겠네요.
노현정,21년 2학기 수강자,100%,"비대면이고 실시간으로 진행했습니다. 출석은 인원수 확인해보시고 부르십니다.
이상하게 집중이 잘 안되고 실수도 많으신데, 막상 들으면 이해는 잘 됩니다.
예시도 많이 들어주시고 쉽게 알려주려고 하십니다.
팀프로젝트가 한 번 있는데,  이 발표 때문에 중간과 기말 일정이 다른 과목 시험들보다 1~2주 정도 빠릅니다. (3차 시험이라고 봐도 괜찮을 정도)
팀플은 큰 문제? 하자?만 있지 않으면 적당히 주시는 것 같고, 저희 팀원들은 중간, 기말 점수에 따라 학점이 갈렸습니다. (채점도 후하게 해주시는 편) 
학점은 전반적으로 잘 주시는것 같습니다.
내용이 쉬워서 다른 전공 과목 듣기 전에 기초 쌓는 느낌으로 들어도 좋을 것 같습니다."
노현정,21년 2학기 수강자,100%,"강의: 비대면 실시간 줌강의입니다. 교수님께서 수업을 잘하시진 않지만 강의 자료만으로는 공부가 힘들어서 듣는 걸 추천드립니다. 교수님께서 많이 바쁘신지 수업을 늦게 시작하는 경우가 종종 있습니다.
시험: 이번 학기에는 비대면 오픈북 시험(중간), 대면 시험(기말)을 봤습니다. 기말은 전범위였습니다. 시험이 어렵지는 않아서 개념과 예제를 잘 공부하면 점수 잘 나옵니다. 교수님께서 기출 공유해주시니 그걸 보고 준비하면 됩니다.
프로젝트: 조별 프로젝트가 있습니다. 주제(사업)을 하나 정하여 수업 시간에 배운 기법들을 활용하여 경제성 평가를 하는 것인데, 중간에 초청 강연에서 유용한 힌트들을 얻을 수 있습니다. 발표는 학기 중간의 제안발표, 종강 전에 최종발표가 있고 마지막에 보고서와 계산자료(엑셀) 제출이 있습니다. 개인적으로 부담되는 팀플은 아니었습니다.
성적: 잘 주시는 것 같습니다.

경제성 공학 수업으로, 할인율을 바탕으로 한 현재가치법, B/C ratio등을 활용하여 프로젝트의 경제성 여부를 파악하는 것에 주안점이 있습니다. 내용이 어렵지 않아서 베이스 없이도 쉽게 들을 수 있습니다. 한번 쯤 들어볼 만합니다"
노현정,20년 2학기 수강자,80%,"그냥 저냥~ 강의에서 얻어가는건 없으나, 강의자료와 특강, 팀플에서 얻어가는건 꽤 있는 수업입니다. 학점은 그냥 그렇게 주고, 시험이 크게 어렵진 않으나 지엽적인 암기가 몇개 나왔습니다. ZOOM으로 들으면 진짜 졸립니다. 그와중에 교수님 톤은 높으셔서 집중력은 떨어지는데 잠은 안오고 그렇습니다. 교수님께서 많이 알고 계시고 많이 전달해주시려고 하나, 많이 횡설수설 하셔서 강의를 보는것보다 강의자료를 스스로 공부하는게 더 좋았습니다..... 근데 강의자료엔 비어있는 것들이 너무 많아서 또 강의를 듣긴 해야하고.. 그렇습니다."
