Professor,Semester,Rating,Text
노태완,24년 2학기 수강자,100%,"이런 분은 듣지 마세요!
1. 임신가능한 여성
2. 인권을 중요시하는 좌파
3. 엄밀한 수학을 좋아하는 분

이런 분은 꼭 들으세요!
1. 똥꼬를 빨 수 있는 남자
2. 병신
3. 공학 심리학을 좋아하는 분"
노태완,23년 여름 수강자,20%,"최악의 교수

도대체 뭘 보고 계속 강의를 맡기는지 알 수가 없음

강의력이 좋은 것도 아니고,

수학에 전문성을 가진 것도 아니고,

수업을 열심히 하는 것도 아니고,

그냥 본인의 개똥철학을 강요하고 현재 서울대 학생들이 잘못되었다를 계속해서 강조하며 수학을 암기해서 푸는게 아니라 이해해야 한다고 이야기하는데 본인만 이해하고 나머지는 외워서 풀고 있다고 생각하는 그 오만함은 어디서 나오는 건지 모르겠음"
노태완,24년 2학기 수강자,20%,"다른 과처럼 수리과학부에 계신 강의교수님들 중 한분을 모셔올 수는 없는 건가요? 저희 과 소속 교수님께서 가르치시는 것이라면 이해라도 가는데, 그게 아니라 (원핵공 출신이라 할지라도) 외부에서 모셔오는 거라면 위 방안 또한 가능한 것이 아닌지 궁금하네요. 원자핵공학과 전용 강좌이지만 주전공생들마저 정원외 써서 온갖 다른 과 공수 12로 탈주치는 현실이 안타까워서 강의평 남깁니다."
노태완,24년 2학기 수강자,60%,"다 좋은데,,,
진도 속도가 너무 심각하게 느립니다. 이게 설명하시다가 늦어진다기보다는,

1) 다른 소리 하시다가 늦어지심. 
2) 너무 쉬운 것에 시간을 너무 할애하다가 늦어지심. 
3) 일주일에 한 번 3시간 수업인데 1~1.5시간씩 힘들다고 일찍 수업을 마치심.

등의 이유로 진도가 원래 나가야 할 속도의 절반 정도라, 결국 마지막에 동영상 강의로 한 번에 나가게 됩니다.

특히 웬만한 서울대생이면 1초만에 납득하는 내용을 마치 온 우주의 비밀을 말씀하시는 것처럼 몇 십 분간 말씀하시는데, 홍익대학교 공과대학 학생들이면 몰라도... (예를 들어 가속도가 발생하는 계에서 관성력이 발생한다는 내용이 벡터의 미분만으로 유도된다는 것)

또는 왜 이렇게 공부를 다들 안하냐는 잔소리나 본인의 경험, 썰에 할애하는 시간이 너무 많으십니다.

어른의 잔소리나 경험담이 그저 싫다는건 아니지만, 수업 진도는 진도대로 늦고 가끔 화를 내듯 수강생 다수를 향해, 요즘 세대(또는 서울대생 집단)에 대한 호통을 치시느라 수업 시간을 보내는 것이 너무 부담됩니다. 
어쨌든 공학수학2라는 과목에 할당된 양이 있고, 그 양을 수업시간 내에 진도를 다 못나가 마지막에 급급히 공부해야 하는 건 수강생의 몫이니까요.


교재가 쉽고 이해하기 수월하게 구성되어 있으며, 가르치실 때 강의력은 좋으십니다."
노태완,24년 2학기 수강자,20%,수학문제에 정해진 풀이가 1개밖에 없다고 생각하는 사람
노태완,24년 2학기 수강자,20%,"출튀 갈기면서 들으면 좋음
근데 강의 들으면 들을수록 스트레스 받음
수학 안 가르치고 본인이 왜 뛰어난 교수인지, 본인의 교재가 왜 뛰어난지, 서울대 학생들이 왜 멍청한지, 사교육이 왜 문제인지 등등 별 이상한 꼰대같은 얘기만함. + 그런 얘기만하다가 수업 일정 못 맞춰서 시험 범위도 바꿈 ㅋㅋ

그래도 출튀해도 출석 점수 안 깍고 내용도 쉬워서 날먹 하고자 하면 좋음"
노태완,23년 2학기 수강자,100%,"교재와 설명이 이해하기 쉽고 시험도 쉽다.
그러나 채점은 쉽지 않다. 예제 풀이방식을 잘 따라가길.
사실 내년에 열릴 수 있을지 모르겠다 ㅋㅋ"
노태완,23년 2학기 수강자,100%,"""본인이 공학수학을 이미 배운 영재고생들은 듣지 말것""

책 내용을 거의 그대로 따라가지만 책 자체가 교수님이 쉽고 명료하게 설명하려고 노력하며 쓰신 책이라 쉬움
연습 문제도 적지만 이해에 굉장히 도움됨

과제는 진도 나간 부분의 연습문제를 전부 푸는 건데 풀기만 하면 만점이고 과제 비중이 적어 점수는 신경 안 써도 됨 그냥 공부한다는 느낌으로 풀었음

시험은 그리 어렵지 않은데 채점기준이 좀 빡빡한 편 수식을 쓰는 것보다 왜 그런 수식을 써야하는지 간단하게 적는게 중요
예제에 나와있는 풀이처럼 쓰는 버릇을 들이고 문제를 잘 읽으면 어렵지 않음
같은 풀이는 같은 점수를 주시니 교수님께 괜히 덤벼들지 말자 덤빈다면 그 수업은 통으로 날라간다
짜피 남들도 똑같이 까이니 애처럼 굴지 말고 받아들이는 게 좋다

성적은 343 잘라주심"
노태완,23년 2학기 수강자,40%,어찌저찌 공학수학은 배웠으나 과정이 마음에 들지 않아 2점 드립니다. 별점 클레임시 1점으로 내리겠습니다
노태완,23년 2학기 수강자,100%,"공학심리학 수강자분들 모두 화이팅 하십시오!
모든 억까를 이겨내고 공수 교양을 치워버립시다!!!"
