Professor,Semester,Rating,Text
고상근,24년 2학기 수강자,100%,"학점 천사 ㅋㅋㅋㅋㅋㅋㅋ
뭐가 이리되든 저리되든
로드 0에 수렴하고 학점 퍼주는 전공과목
이거밖에 없다 ㅋㅋ"
고상근,24년 2학기 수강자,80%,시험 전체적으로 쉬우며 1차 CAD와 3차 유체가 상대적으로 변별력 가짐. CAD에서 파일 억까 당할 수 있어서 과제 때 다운받은 파일 지우지 않는 걸 추천함. 강의 안듣고 개론 치우는 느낌이면 추천
고상근,24년 2학기 수강자,60%,"제 노트북으로 레고블록조립 영상제작을 돌리니까 컴이 다운되네요

4 ""Not Responding"" can't win

드랍해서 나머지 운영은 잘 모르니 일단 3점 드립니다."
고상근,24년 2학기 수강자,60%,"사실 캐드 수업 거의 안들었음. 다 출튀함.
근데 수업 시간에 배부한 자료 정도는 다운하는게 정상아님?
본인도 기간 만료 됐길래 카페에서 레고 파일 다운받아감.
본인이 제대로 준비도 안해둬놓고 찡찡대는게 좀 역겨움.

다만 캐드 수업은 정말 도움이 안돼서 3점 남김."
고상근,24년 2학기 수강자,20%,"시험 칠때는 왜 징징거리지 싶었는데
아래 리뷰들 보니깐 교수가 잘못한게 맞네
그나마 드랍 기간이라서 다행이고 강의평가 1점 드림"
고상근,24년 2학기 수강자,20%,"1점도 주기 싫다. 0점 수업.
캐드 시험 정말 불공평함.
수업 시간 도중 다운받았던 자료 꺼내서 찾아보렴? 없으면은요? 망해야죠. 교수님도 캐드 알려주다가 이게 어떻게 하는거지?하면서 기본 10분씩 헤매고…(어떨 때는 다음 수업시간에 알려드릴게요 엔딩)
전기과 교수님들 수업 너무 만족스럽고 항상 존경합니다."
고상근,24년 2학기 수강자,20%,교수가 수업하는 것도 아무것도 없고 시험 볼 때 새로 파일 안 올리고 예전에 올려준 거 쓰라고 했는데 파일 이미 지우거나 변경한 사람은 어떡하라는 거임. 올려준 과제 끝났는데 파일 변경된 게 잘못임? 조교님한테 물어보니까 뭔가 우물쭈물 어쩌다보니 30분 지나있고 그래서 시험 원래 시간 끝나자마자 남아서 재시험 안 되냐고 물어보니까 절대 안된다고 하네. 수업부터 시험 방식까지 3년 동안 들은 최악의 강의다.
고상근,23년 2학기 수강자,100%,"과제 거의 없고 시험도 그리 어렵진 않음
공학개론 치우기에 굿"
고상근,23년 2학기 수강자,60%,"CAD 나만 개어려움? ㅋㅋㅋ 수업 열심히 따라갔는데도 시험문제 오리만들고 다음꺼 구멍파다가 타임아웃. CAD 시험 망하니까 바로 C+
그래도 졸업필수로 치우기엔 가장 편한 공학개론인듯"
고상근,23년 2학기 수강자,100%,"수업 안가도 되고 시험은 하루만 투자하면 됨.

학기 초에 캐드 연습만 열심히 하면 될듯"
