Professor,Semester,Rating,Text
문태섭,23년 2학기 수강자,100%,"관악 최고 딥러닝 입문 강의
과제 짱! 교수님 짱! 조교님 짱!"
문태섭,23년 2학기 수강자,80%,"배우는 내용과 과제는 재미있었다. 
하지만 진도 조절에 실패하셔서 뒷부분 내용을 못 배운 건 아쉬웠음. 중간고사 범위까지는 자세히 설명해주셨는데 기말 범위, 특히 뒤로 갈수록 휘리릭 넘어가는 부분이 많아서 따라가기 쉽지 않았음. 아마 다음번에는 좀 개선되지 않을까 싶다. 
수업 중간에 쉬는시간을 주셔서 행복했음. 교수님이 이것저것 얘기해주시기도 해서 재미있음
시험은 틀릴 시 감점 있는 TF문제, 기타 수업 관련 문제(계산에 많이 신경써야함), 과제 일부 코딩 문제가 나옴."
문태섭,23년 2학기 수강자,100%,"커리큘럼이랑 HW가 마음에 드는 강의였습니다

(수업) cs231n 슬라이드를 변형하고 transformer를 추가한 피피티로 진행하십니다 음 어려운 부분을 설명할 때는 오히려 판서가 거의 없고 추상적이어서 명쾌하게 이해되지 않았습니다 ㅠㅠ 하지만 flow를 잘 짚어주셔서 혼자 공부하면서 커버되는 정도라서 도움 되고 유익했습니다!!

(과제) 이번 학기는 플젝 없이 네 번의 구현 과제로 진행되었습니다. 특히 마지막 GAN은 진짜 생성되는 거 보고 신기했어요
(Linear Classifier / CNN / Transformer / VAE, GAN)

(시험) 문제들은 퀄리티가 아주 좋습니다! 다만 multiple choice문제는 아예 삭제하는 게 좋을 듯 하네요… 중간 범위는 역전파가 중요하기 때문에 vector calculus를 좀 잘하셔야 됩니다. 중간고사는 시간이 너무 부족해서 평균은 엄청 낮았고 기말고사는 시간이 넉넉했습니다

학점은 잘라 주십니다 22퍼 A-. 태섭 교수님의 딥기는 전반적으로 컨텐츠가 아주 좋았던 강의였습니다 추천해여"
이정우,22년 2학기 수강자,20%,"강의력이 나쁘고 시험은 족보랑 증명 암기입니다.
배우는 내용은 나쁘지 않습니다.
가능하다면 다른 교수님 딥기 들으세요."
이정우,22년 2학기 수강자,100%,"교수님 강의력은 괜찮으신 편이고, 말투가 나긋 나긋 하시긴 하지만 내용 전달은 잘 되었어요. 그리고 이론적으로 인사이트가 있으셔서 꽤 유익하다고 느꼈습니다. 
거의 매주 있는 푸는 과제는 어렵지 않고 그냥 복습 느낌으로 풀었고, 
파이썬 과제의 난이도도 쉬운 편이었습니다. 
팀플은 어쨌든 결과를 내야 하니 미리 미리 시작하시는 걸 추천합니다!"
이정우,22년 2학기 수강자,60%,"교수님의 강의력은 그닥이고, 시험 문제는 기출과 강의자료 달달 외우면 잘 볼수 있습니다.
과제는 매 챕터마다 하나씩 거의 매주 나오고, 이와 별개로 파이토치를 연습하는 느낌의 코딩 과제가 4번 나옵니다. 과제 난이도는 어렵지 않습니다.
학기말에 4인 1조, 자유 주제로 프로젝트를 진행하게 됩니다. 딥러닝 특성상 시간이 꽤나 들어갔으며, 조원 중 딥러닝 경험자 유무가 굉장히 중요하다고 생각합니다."
이정우,22년 2학기 수강자,60%,"2.5점을 주고싶다
중간고사 이전까지는 좋은 강의
이후로는 매우 별로인 강의"
이정우,22년 2학기 수강자,60%,"이것만 알아두세요
(시험)
중요하지 않으니 넘어감 -> 시험에 무조건 나옴
중간꿀팁: 없음, ㅈㄴ쉬움
기말꿀팁: xxGAN loss function 다외우세요. 그냥 묻지도 따지지도 말고 다외우세요
공통: 기출은 신입니다
(플젝)
플젝은 운빨망겜이라 만약 조원 모두 딥러닝이 처음이고 관련 플젝/인턴 경험 없다? -> 수고하세요 ^^
(과제)
과제 감점당했으면 컴텍 접는거 진지하게 고민해보세요"
이정우,22년 2학기 수강자,40%,"수업에서 배울 게 별로 없고, 과제와 프로젝트 로드는 많고, 시험은 누가 암기 잘 하나 가르는 유형이어서 별로였던 강의. 하지만 딥러닝 전반에 대한 큰 그림이 그려지고, 차근차근 이해하려면 오래 걸릴 수식들을 정성적으로 이해할 수 있게 되며, 학점이 잘 나오는 점은 좋다."
이정우,22년 2학기 수강자,100%,"100만불짜리 지식 잘 얻어 갑니다~~
수학, 철학, 물리학, 통계학 수업 재밌게 잘 들었습니다."
이정우,21년 2학기 수강자,40%,정말 강의력이 별로십니다. 과제에서 배울 것도 하나도 없습니다. 시험은 강의자료를 달달 외우면 쉽게 잘볼 수 있습니다. 학점은 잘주시는 것 같으나 배울점이 정말 없는 강의였다는게 아쉬웠습니다. 팀프로젝트하면서 스스로 공부한 내용이 더 많은 것 같습니다.
이정우,21년 2학기 수강자,100%,"과제가 너무 많았습니다. 그러나 채점은 on off 형태로 해서 허탈했던 기억이 나네요.

시험은 중요하지 않은듯 넘어간 부분에서 많이 나왔습니다. 이 점 유의하고 공부하시면 될 것 같습니다.

학점은 비율을 채워주는 것 같습니다. 처음에는 제 성적은 프로젝트 제외한 성적으로 따지면 비율로 보았을때 A0~A-였으나,  A+이 나왔어서 학점을 정말 잘 주신다고 생각했으나, (프로젝트 제외) 저하고 성적이 비슷하나 프젝을 열심히 안했던 친구의 학점은 A-이었습니다. 이점으로 미루어 보았을 때 프로젝트 비율이 크고, 학점은 잘라 주는 것 같습니다."
이정우,21년 2학기 수강자,80%,"과제 : 거의 매주 한번씩 수업에서 배웠던 내용이나, 수업도중에 집에서 해보라던 수식적 문제들이 과제로 나옵니다. 채점도 거의 온오프인것같고, 크게 부담이 되지는 않으나 매우 귀찮습니다. 그리고 코딩 과제 4개가 나오는데 약간 과제 순서가 잘못된거같기도합니다. 특정 과제에 너무 많은 양이 몰려있는 느낌입니다. 
조모임 : 프로젝트가 조별로 진행되어 얼마나 열정있는 조였는 지에 따라서 다를 것같습니다. 프로젝트가 좀 막막했던거같네요.
학점비율 : 성적입력마감일이 12/28이나 12/30지금 아직까지 열리지 않고 있습니다. 그래서 잘 모르겠습니다..
출결 : 이번 학기는 절반은 완전 비대면, 나머지 절반은 비대면과 대면이 반반 섞였습니다. 비대면의 경우 줌에 참석하여 자신의 이름만 바꾸면 됩니다. 대면은 어떻게 출결확인했는지 모르겠습니다. 대면참석의 경우 과제와 출석에서 감점당한 10프로의 점수를 보정해주는 메리트가 있었습니다. 물론 백신을 맞아야합니다.
시험횟수 : 중간고사 한번, 기말고사 한번입니다. 
수업 : 거의 항상 늦으시고, 거의 항상 오버해서 수업이 끝납니다. 그래도 수업에서는 딥러닝의 전반적인 부분에 대해서 설명을 잘 해주십니다. 그러나 각 파트별로 체감 차가 많이 납니다. 개인적으로 CNN까지는 정말 좋았고, RNN은 정말 별로였고 attention부분은 스스로 찾아봐야할정도로 너무 빠르게 지나갔습니다. generalize 부분은 다시 좋았습니다. 굉장히 수식적이라고 했으나 제가 느끼기에는 그렇게 수식적이지 않고 되려 직관적인 부분들을 많이 얻을 수 있어서 좋았네요. GAN은 정말 최악이었던거같네요.
시험 내용 : 이 부분이 정말 충격적인데, 스랖에 있는 강의평이 제일 맞는 말인것같습니다. 중요하다고 한건 안나오고 중요하지 않다고 한건 다 나옵니다. 수업에서는 모델들의 단점들을 배워야한다고 하셨지만 시험에서는.. 음.. 사실 시험 망해서 뭐가뭔지 잘 모릅니다. 그렇지만 적어도 수업에서 중요하다고 했던게 안나오는건 맞습니다. 수식적인게 많이 나옵니다. 그리고 시험전날 밤 12시에 전년도 기출을 올려줍니다. 기출에서 꽤 나오니 꼭꼭 보고 가시길 바랍니다. 안봤다가 망했습니다..
총평 : 매주 나오는 개념과제는 학습에 도움이 되나, 코딩과제는 조금 부족한것같습니다. 실습이 조금 더 늘어났으면 합니다. 수업 내용 자체는 딥러닝 처음 배우는 입장에서 풍부했습니다. 딥러닝이란 무엇인가 부터 딥러닝 분야와 모델들도 다양하게 배우고 모델의 장,단점도 잘 배울 수 있습니다. 그렇지만 수업 후반부로 갈수록 속도 조절에 실패하여 RNN부터 후딱후딱 넘어가버리는 느낌을 받았습니다. 또한 시험이 굉장히 요상하다고 느껴집니다. 교수님께서는 학생들에게 복잡한 딥러닝 모델에 대한 직관력을 기를 수 있게 해주십니다. 딥러닝을 아예 모르는 학생이더라도 충분히 들을 수 있다고 생각합니다. 
cf) 유튜브에 딥러닝의 기초라고 치면 2년치 강의 영상이 있습니다. 강의 화질과 음질이 안좋지만 실시간 줌에서와 똑같은 품질입니다.."
송현오,23년 1학기 수강자,100%,인공지능 쪽으로 계속 공부하실 생각 있으시면 들으시는 것을 추천드립니다. 수업 들을때는 내용도 그렇고 과제도 그렇도 힘들긴 했지만 시간 지날수록 송현오 교수님 수업에서 배웠던 내용들이 많이 도움되는 것 같슴니다.
송현오,23년 1학기 수강자,100%,"학점도 너그럽게 주시고 수업도 질적으로 좋게 하시려고 하셔서 정말 얻어가는게 많았습니다.

시험이 어려워서 노력에 비례해 보상받는다거나 하는 것은 전혀 없지만 그래도 워낙 범위가 방대해 이렇게 사고력 요구하는 시험도 나쁘지 않은 것 같습니다.

로드는 상당하네요…"
송현오,23년 1학기 수강자,100%,"범위가 넓어서 그렇지 수학적으로 깊게 들어가는 과목은 아니라고 생각합니다. 다만 매 수업마다 주제가 바뀌기 때문에 공부량이 많이 필요합니다. 저 같은 경우에는 중간범위 이후로는 처음보는 내용들이라 시간을 많이 할애했던 것 같아요.

수업 범위는 중간이 vae까지였고 기말은 강화학습과 정보이론 그리고 adversarial attack 등의 내용이었습니다.

수업마다 어떤 주제인지 파악만 잘하면 따라가는데 큰 문제는 없을 것 같은 렉처 구성이었습니다. 하지만 진도가 굉장히 빠르기 때문에 수업 전에 렉처 노트를 읽고 가는 것을 권장합니다. 노트가 잘 요약된 편이지만 매일 아침 9시 즈음 올려주셔서 못 본날은 따라가는데 빠듯했던 것 같아요. 하루전날 올려주면 더 좋을 것 같습니다.

과제는 다른 학교에서 사용한 과제를 여러개 섞어서 올려주시는데 과제를 하면 내용을 이해하는데 도움됩니다. 과제가 거의 매주 나와서 많은 편이긴 하지만 인터넷에 소스가 많아서 과제하는데에는 무리가 없습니다.

학점은 딱 예상한대로 나왔습니다. 시험은 렉처와 관련있지만 심화된 내용으로 나옵니다. 이번학기는 공학적인 문제를 많이낸다고 하셨는데 기말 기준으로 수통이 유리했는 문제는 100점 만점에 30점정도 였던 것 같습니다.

딥러닝에 관심있고 공부하고 싶다면 듣는 것을 추천합니다."
