Professor,Semester,Rating,Text
신형엽,24년 2학기 수강자,100%,"강의가 너무 만족스러워서 강의평 꼭 써야겠다고 학기 중에 계속 생각 했어서 성적 나오기도 전에 씁니다.
강의력 매우 좋으시고, 강의자료도 구성이 알차다고 생각합니다.
전반부 수학(선대,미적,확률)이나 파이썬 기초 내용은 다 알던 내용이라 사실 수월하게 공부했지만 종합적으로 복습하는 셈 치고 정리하는 느낌으로 좋았고, 뒤쪽 머신러닝 파트는 정말 유익했습니다.
시험은 쉬운 편이었고, 기말 플젝은 자유 주제라 제가 관심 있는 주제로 분석해 볼 수 있어서 재밌었습니다. 암튼 강추!"
신형엽,24년 1학기 수강자,100%,ML처음 배우는수준에서 설명해서 수학 부분부터 차근차근 나가서 어렵지 않게 수강할 수 있습니다.
신형엽,24년 1학기 수강자,100%,전체적으로 유익한 내용입니다 저학년들도 어느정도 부담없이 들을수있을거같아요
신형엽,24년 1학기 수강자,100%,유익했어여 로드도 별로 안 많고 공대 고학년이면 쉽게 하실 듯
하미드레자,24년 1학기 수강자,100%,"나긋나긋 중저음 보이스로 친절하시고 열심히 가르치십니다. 충분히 듣기좋게 말해주시므로 영강이라고 너무 겁먹을건 없을거 같습니다. 

중간까지는 선대, 통계, 미적분에서 머신러닝에 필요한 수학 개념들을 전반적으로 훑습니다. 최적화(경사하강법, 뉴턴법)도 다루지만 어렵지 않습니다. 진짜 노베이스 기준으로 가르치시기 때문에 전에 이것들을 배워봤거나 친숙하다면 편하게 들으면 됩니다. 대신 용어가 알던거랑 약간 다를 수 있으니 슬라이드 보면서 잘 숙지해두면 됩니다. 

파이썬 프로그래밍도 배우는데, 이것도 중간 전까지는 완전히 초보적인 내용입니다. 수학에서 배웠던걸 코드로 짜보는 실습이 있습니다. 사실 전 딴청피우긴했는데.. 프로그래밍이 처음이라먼 한단계 한단계 잘 알려주시니 따라가기 좋습니다.

중간 이후부터는 본격적으로 머신러닝에 관련된 개념들을 다루기 시작합니다. 중간 전까지 쉽고 가벼운 내용에 실망했다가 나름 머신러닝에 대한 전반적인 지식을 알려줘서 좋았습니다. 물론 입문하거나 복습하기에 좋은 수준이지 난이도가 악랄해지는건 아닙니다. 딥러닝은 아예 나오지 않는다는거 참고하세요. 회귀와 정규화, 클러스터링 같은 머신러닝 방법론들을 배운다고 생각하시면 됩니다.

기말고사 대신 프로젝트와 발표가 있습니다. 프로젝트는 배웠던 머신러닝 방법론들 중 4개를 구현하고 직접 데이터를 생성하여 테스트해보는 것 하나랑, 실제로 있는 데이터셋(kaggle에서 찾아보면 많이 있습니다)을 골라 로지스틱 회귀를 구현하고 실험해보는 것 두개로 나눠집니다. 지시사항이 구체적으로 주어집니다. 보고서 만드는거까지 해서 오래걸릴 수 있으니 수업시간때 틈틈이 해두시는걸 추천드립니다.

발표는 교수님이랑 일대일 대면으로 옆에 앉아서 만든 프로젝트에 대해 간단한 설명 및 질의응답을 합니다. 영어를 잘하지 못해도 상관없는데, 영어로 뭐라 설명하는걸 아예 못하겠다 하시는분한테는 비추천입니다. 그러고 나서 수업 내용을 이해했는지 확인하기 위한 질문 몇개를 던져주십니다. 그렇다고 완전 지엽적인 내용까지 달달 외워가실 필요는 없고, 핵심적인 내용만 잘 이해해서 가면 대답하기 수월합니다.

과제는 총 6번 있는데 엄청 쉬워서 로드라고 느껴질 정도는 아닙니다. 저는 인공지능 연합전공 신청하려고 선이수 과목으로 들었는데 학점도 잘 주고 만족스럽네요. 머신러닝을 잘 모르지만 관심이 있으신 분들에게도 추천합니다."
하미드레자,24년 1학기 수강자,100%,"이공계 고학년이라면 꿀통이 될 가능성 매우 높음
중간고사 + term project로 구성되어 있는데
중간고사는 calculus+linear algebra+statistics 로 아주 기초적인 수준으로 출제되어 교양수학 개념이 기억이 조금씩이라도 난다면 사실상 준비할게 거의 없음
기말고사는 올해는 보신다고 슬쩍슬쩍 겁은 주셨지만 결국 term project와 그 발표로 대체됨 프로젝트는 시간이 꽤 걸리고 할 것도 많지만..  전지전능한 Ai의 힘을 빌린다면 코드를 이해하기만 하면 되는 수준 
발표를 하면서 머신러닝에 대한 간단한 개념을 물어보시는 데 잘 대답 못했는데도 성적 괜찮게 나옴 (이건 중간 성적은 공개안하셨지만 거의 다 맞았을 것으로 예상되어 그런걸 수도 있음)"
하미드레자,23년 1학기 수강자,100%,"감사합니다...감사합니다...
동굴보이스 졸리긴 했는데 얻어가는건 많았어요"
김성우,23년 1학기 수강자,100%,"밑에 인문학적 뇌절이라는식으로 써놓은것 보고 그런 평을 받을만한 수업은 아니라는 생각이 들어서 강의평 씁니다. 교수님이 하시는 인문학적인 인사이트가 인공지능이나 딥러닝을 막 배운수준에서는 사실 큰 체감이 안되는 것들이지만 배운지 꽤 된 상태에서 돌이켜보면 정말 하나하나 다 맞는 방법이고 알고 있으면 피가 되고 살이 되는 내용입니다. 이게 바로 대가의 수업이구나 하는 느낌이 들더군요. Basis vector가 orthodox해야만 분류를 잘 할 수 있다... 이 말씀이 계속 머릿속에 남습니다. 사실 트랜스포머같은 최신 SOTA 알고리즘도 ""그렇게 되어야만 하는 이유""는 인문학적인 것들에서 찾을 수 있습니다. 현존하는 최고의 자연어 처리 알고리즘인 트랜스포머도 보면 그냥 노드 수를 늘려서 성능을 높인 게 아니라 ""멀티 헤드 어텐션""을 써서 앙상블을 하는 거든요. 그런 아이디어는 결국 통계학적인 논리가 뒷받침하는 거고, 이걸 설명하다보면 인문학적인 비유를 들어 설명하게 되는 겁니다. 어느정도 경험이 쌓이면 내공이 느껴집니다.

과제로는 라이브러리 써서 다 할수있는 코드를 라이브러리 안쓰고 scratch부터 만들어보게 하는 과제를 많이 내주시는데, 과제가 13개까지 있어서 학기중에는 솔직히 힘들었지만... 직접 해보고 나면 왜 이렇게 해야만 하는지를 체감하게되면서 그때부터는 다른 사람의 코드에서도 따로 주석으로 써놓지 않은 의도까지도 읽어내는 능력이 생깁니다. 이 강의로 솔직히 코드 실력이 엄청 상승했다고 느꼈습니다.

인공지능을 어느정도 알고 있으면서 여기에 추가로 대가의 견해를 들어보고자 하는, 인공지능 중급 이상 경험자들에게 추천합니다."
김성우,23년 1학기 수강자,80%,"매주 과제 있고 5월 중간고사 한 번, 기말프로젝트 있습니다.
좀 부담스럽긴 했는데 교수님이 에너제틱하셔서 버틴 것 같아요. 기말프로젝트 끝날 때는 쾌감이 들었네요.. 고생하긴 했습니다.
돌아간다면 듣는 것에 좀 고민할 것 같습니다. 이건 제 개인적 생각이고 즐기며 하셨을 분도 있을 거라 생각합니다.
정말 이 분야를 좋아하신다면 추천하고 그외는 호불호가 갈릴 것 같습니다."
김성우,23년 1학기 수강자,100%,과제랑 프로젝트는 로드 상당하긴 한데 머신 러닝 입문하는 수업으로는 괜찮은 수업입니다
