Professor,Semester,Rating,Text
박홍규,24년 1학기 수강자,100%,아무거나 들으시면 됩니다. 실험주간 가기 전에 액셀 만들어 가시면 금방 끝내고 먼저 집 갈 수 있어요.
박홍규,24년 1학기 수강자,100%,조교님들께서 다음 학기부터는 다시 보고서 늘리신다네요.. 화이팅입니다
박홍규,24년 1학기 수강자,100%,신입생 여러분 물리학실험은 어차피 조교 진행 과목이기에 강의평이 의미가 없습니다.
김은종,24년 1학기 수강자,100%,"보편적인 물리실험1이고 랩노트는 그때그때
어지간히 하면 s 나옴"
김은종,24년 1학기 수강자,100%,"S/U 강의.
뒤에서 1, 2등 하지 않는 이상 S 받아갑니다."
PARK YUN,24년 1학기 수강자,100%,"조교님 진짜 인품 좋으세요
메일로 문의 몇 번 드렸는데 친절히 답해주신 것 같습니다"
PARK YUN,24년 1학기 수강자,80%,"조교님들께서 살짝 불 친절하신 편
체점도 상당히 오래걸림
실험은 주어지는 메뉴얼 보면서 잘 따라하면 됨
랩노트랑 최종보고서도 쓰는 게 그렇게 많이 어렵진 않고
어차피 에쎈유니까 적당히만 하면 됨.
개인적으로는 초반에 열심히 해서 높은 점수 받아놓고 뒤에 가서 설렁설렁 하는 방법을 추천함"
PARK YUN,24년 1학기 수강자,100%,"타 실험에 비해 로드가 적음
S/U라 맘 편하게 실험하고 보고서써도 무리없음"
장소연,24년 1학기 수강자,100%,"물리학을 잘 못해도 혹은 몰라도 이론 동영상이랑 실험 동영상 + 실험 방법 PDF까지 다 올려주셔서 그냥 올려주시는 거 열심히 보고 미리 공부해가면 어려울 것 1도 없는 수업입니다. 

심지어 보고서도 1번밖에 없는데, 도서관 가서 다른 물실 책들 넘겨보고 올려주신 보고서 읽어보면서 내용 재구성하면 충분히 높은 점수 주십니다.

데이터는 다 틀리고 난리나도 뭐라고 안 하시고 열심히 하기만 하면 S 주시는 것 같아요 

재밌는 실험하면서 보고서 한 번 써보고 학점도 얻고 ,,, 만족합니당"
장소연,24년 1학기 수강자,100%,물실이 이렇게 편해졌을 줄이야... 보고서 1번만 쓰면 된다니...
장소연,24년 1학기 수강자,100%,"물실이 진짜 물. 실험이다. 
실험 5번에 보고서 1번인데, 앞에 4번은 실험 내용만 파악해서 가면 되고 마지막 보고서 1번만 잘 쓰면 됩니다. 저는 보고서 5시간컷 했어요.(근데 이것도 시간 많이 쓴 것 같음)"
장소연,24년 1학기 수강자,100%,물실1은 꿀강 보고서 1개만 쓰면 되는 게 너무 좋음
장소연,24년 1학기 수강자,100%,보고서 22명중 뒤에서 세손가락 안에 드는데 S.. 격주에 한번 실험+보고서1개 안 할 이유가 없는 실험입니다
장소연,24년 1학기 수강자,100%,"실험 5번
보고서 1회
나머지는 랩노트만
격주에 한 번 수업
조교 진행이라 교수님 상관x
교양 졸업요건 채울거면 제발 물실로 꿀빨자"
류제경,24년 1학기 수강자,100%,조교님은 유쾌하시고 재밋었음. 물실 해치우기 좋았음
류제경,24년 1학기 수강자,100%,조교님이 아주 친절하시다. 로드도 예전보다 훨씬 줄어서 개꿀
류제경,24년 1학기 수강자,100%,"출석, 랩노트, 태도(프리랩), 보고서로 평가되며 이번 학기는 5번 실험에 대해서 랩노트, 마지막 실험에 대해 보고서로, 1학점 로드로 적당했습니다. S/U 평가방식이 사라지기 전에 들으시는 것을 추천드립니다."
류제경,23년 1학기 수강자,100%,S/U 없어지기 전에 빨리 해치우시길🫣🫣
류제경,23년 1학기 수강자,80%,대충대충익선. 그냥 대충해서 치우는게 답. 나는 탈출했다. 수고 ㅋㅋ
류제경,23년 1학기 수강자,100%,결석 안 하고 보고서 기한 맞춰 내기만 하면 됩니다.
류제경,23년 1학기 수강자,100%,메뉴얼 읽고 퀴즈랑 프리랩 준비하고 실험하는 거랑 보고서 귀찮긴 한데 s/u가 모든 것을 미화해줍니다. 그냥 어느 정도만 하면 S 나올듯. 후딱 해치우시길.
류제경,23년 1학기 수강자,40%,"S/u 라 그나마 낫지만 정말 귀찮았습니다
계절 안 열리니깐 빨리 해치우세요"
이승섭,24년 1학기 수강자,100%,"물실은 그냥 편한 시간대 듣고 빨리 치우는게 무조건입니다. 
실험마다 기준 맞춰서 랩노트 작성하고 내면 되고
마지막 보고서도 솔직히 열심히 안 써도 됩니다.
분명 예시 보고서에는 한컴오피스 기준 반으로 갈라서 꽉 채워져있었는데 그냥 줄글로 막 써놔도 s받았습니다."
이승섭,24년 1학기 수강자,100%,"신입생이라 이전 진행 방식과 어떤 차이가 있는지 남길 수는 없지만,

시간이 촉박한 일부 실험을 제외하면 간단한 실험이고 수월하게 S 받을 수 있는 것 같습니다.

프리랩이나 랩노트 틀을 미리 작성해 가시면 좋을 것 같네요."
이승섭,24년 1학기 수강자,100%,"물실은 교수님이 전혀 중요하지 않습니다. 그냥 아무 상관없어요. 출석, 로드 등등은 강의계획서에 써있는 그대로 모든 분반이 같습니다! 그러니까 본인 편한 시간에 물실 들으면 됩니다. 새내기분들에게 드리고 싶은 말은 1학년 때 꼭 수강신청 우선순위에 두고 성공해라.. 아니면 수강하기 정말 힘듭니다. s/u여서 그냥 80점만 넘으면 평점이 다 똑같고 웬만하면 s 줍니다. 표절이랑 복붙만 안하면 무난하게 학점 딸 수 있는 강의에요~"
이승섭,24년 1학기 수강자,100%,1학년 때 듣고 치우세요~~ 매우매우 높은 확률로 S입니다~~
