Professor,Semester,Rating,Text
한민탁,18년 2학기 수강자,100%,완벽한 수업이지만 교수님이 가버리셨어요ㅠㅠ
한민탁,17년 2학기 수강자,80%,"출석 호명이 랜덤이라 눈치껏 빠지기 좋고
강의력 좋으시고
과제는 텀 프로젝트 하나고(팀 아닙니다)
시험은  양이 많은데
수업 잘 들으면 어케 나올지 유형도 조금씩 알려주고 하십니다
배운 대로 정직하게 나오니깐 딱히 불만은 안 남았네요"
박용태,24년 2학기 수강자,40%,산업공학이 궁금하다면 그냥 책을 읽으세요...
박용태,24년 2학기 수강자,40%,"2q3+4 A0
산업공학 개론을 배워보고 싶으면 굳이 수업을 듣는 것보다 책만 사서 읽어보는 게 더 효율적일 것 같다"
박용태,24년 2학기 수강자,60%,성적이 좀 짭니다..그거빼면 뭐 출튀해도모르고 딱히 족보도 필요없고 ㄱㅊ은거같네여
박용태,24년 2학기 수강자,100%,2q3+9점 정도에 A+ 받았습니다. 수업은 한번도 안들었고 중간기말 직전에 이틀 박아서 2회독하고 교재 연습문제 외우고 들어갔습니다. 문제가 지엽적이긴 하지만 그래도 큰 틀에서 중요한 것들 위주로 나오긴 합니다. 결석도 여러번했는데 영향 없는 것 같네요
박용태,24년 2학기 수강자,60%,"중간 q3+2.5 기말 q3-1.7 텀프 만점 받아서 A- 받았습니다.
세 번 결석하고 중간 이후부터 수업은 출튀했습니다.. 그런데도 A-인걸 보면 출결은 크게 영향은 없는 듯 합니다. 텀프로젝트는 예시 보고 대충 비슷하게 하면 10점 주는 듯 합니다.
성적은 뭐 애초에 기대도 안했어서, 공학개론 잘 치웠다는 느낌입니다.
시험은 책을 달달 외워야 하는 수준입니다... 저는 벼락치기를 잘 못하는 편이라 한 일주일 잡고 했는데도 q3정도에 그쳤네요. 중간은 계산 문제가 많이 나왔는데 기말은 계산보다는 개념 위주로, 그것도 지엽적인 것만 많이 물어본 것 같습니다. 특히 각 개념을 시간 순으로 나열하라는 문제가 많이 나옵니다. (SM-OR-OM-ISE-IME, TPS-MIS-DSS-EC-B 뭐 이런...)

성적 잘 받아야겠다 생각하고 수업도 제대로 듣고 교재도 열심히 봐야지라는 마인드 보다는 저처럼 공학개론 걍 치우고 출튀 후 밥버거나 먹고 다른 전공에 집중하자는 마인드시라면 추천드립니다."
박용태,24년 2학기 수강자,20%,"2Q3+1인데 A-?
그럼 1점 줘야지 뭐
텀프 만점임"
박용태,24년 1학기 수강자,80%,시험은 연습문제랑 기출에서 거의 다 나옵니다 출석은 종이에 사인하는 형식이고 수업은... 안 들으셔도 됩니다 ppt랑 교재로만 공부해도 A 충분히 나옵니다
박용태,24년 2학기 수강자,80%,아직 중간고사 보기 전이라 시험은 잘 모르겠지만 강의는 버틸만합니다. 오전에 1시간 정도는 지루해도 그냥 앉아서 듣고 있으면 되는 것 같습니다.. 기대를 너무너무 안해서 그런지 생각보다 재밌는 것 같기도 합니다.
박용태,23년 2학기 수강자,20%,"억지로 듣는 수업..
출석은 성적에 반영 안됩니다"
박용태,23년 1학기 수강자,40%,"다른 과목이 너무 바빠서 중간 기말 각각 하루 정도 써서 외웠고
중간 q2+0, 기말 q2+2, 텀프로젝트 10점으로 B0

계산 문제는 한번 풀어보면 익힐 수 있는 정도로 간단하게 나오는데, 이런거 달달 외워서 대체 어디다 쓰지 하는 생각이 계속해서 드는 PPT들을 외우고 있는 게 너무 현타가 왔다..
공학개론 수업을 꼭 들어야 하는데 열리는 수업이 없어서 듣게 되었지만, 다시 돌아간다면 한번쯤 다시 생각해 볼 거 같다."
박용태,24년 1학기 수강자,20%,"학교 4년 다니면서 가장 듣기 싫었던 과목
산업공학 관심없으면 듣지 마세요"
박용태,24년 1학기 수강자,40%,"달달 외워서 2q3 + 15 받고 A+ 받았습니다만, 이 과목에 투자한 시간에 비해서는 소득이 그리 크지 못했다고 느꼈습니다.
강의 내용이 ""개론""인 만큼 이런 것도 있다는 여러 내용을 소개하는 느낌인데, 시험 문제는 그 여러 소개된 내용을 모두 외우다시피 할 것을 요구합니다.
제가 들었던 웬만한 문과 교양 과목보다 더 심각한 지엽성, 그리고 그 외워야 할 내용 대부분이 맥락이 배제된 채로 서로 동떨어진 내용들이란 점에서 결코 좋은 평을 내리기 어려울 것 같습니다."
박용태,24년 1학기 수강자,40%,"과제-예시를 중간 이후에 얼마쯤 되서 올려주시는데 그거 보고 포맷을 대강 구상해보고 만들면 생각보다 그렇게까지 오래 안 걸림. 10/10받았는데 2일 걸려 만들었나 그럼... ppt내용이 충실한 게 중요하지 디자인은 그냥 너무 이상하지만 않으면 되는 듯

시험-중간은 예상대로 ppt 내용 죄다 외운 걸 바탕으로 줄줄이 다 쓰는 내용이 나왔고, 그걸로 한 번 데여서 기말에서 그런 걸 외웠더니? 이번에는 매기기 다소 쉬운 '순서 배열'같은 답이 정해진 문제들이 나옴.
일단 계산문제는 무조건 다 맞는다는 마인드로 하시는 게 좋습니다. 계산기를 써서 직접 예제나, 교과서에 예제를 풀어봐야 됩니다. 시험 들어가면 어떻게 풀지가 딱 그려지고 기계적으로 계산기를 두드리기만 해야 시간이 안 모자랄 거에요

출석-종이 돌려서 한 10~15분쯤 매번 도착했는데도 큰 무리 없이 출석함. 이건 좋음

저자직강이기는 하고 가르치는 주제 자체는 후반부부터는 좀 도움이 될 만한 방법론이나 생각 못 해본 내용들이 있긴 해서 흥미롭긴 했음. 그러나 평가를 기준으로 본다면 그냥 말도 안 되는 수준의 암기싸움이고(생물학 같은 건 그래도 최소한의 말이 되는 영역이나 안 되는 영역 같은 거를 잡으면서 이해를 하면서 암기하는 범위를 줄이는 게 되는데, 여기 내용들은 다들 동떨어져 있는 게 많아서, 거의 무조건 깡 암기해야 함)...그래서 성적을 '좋게'받으려면 치러야 하는 코스트가 꽤 높을 겁니다.

제 성적은 둘 다 q3 넘겼는데 한 번은 2점 한 번은 5점 넘겼습니다(45점 만점 기준, q3가 보통 35점 정도 나와서. 이것도 진짜 암기를 많이 하고 시험에서 실수 안 하고 문제도 자기가 암기한 거에서 아다리 맞게 잘 나와야 받을 수 있는 성적입니다. 전 운 좋게 외운 거에서 좀 많이 나와서...).
근데 A0나와서 ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ 
보고 진짜 이거 1픽으로 수강한 거 현타 좀 오긴 했습니다. 1픽한 게 진짜 아까워요
공개 1개 꼭 치워야 해서 오는 거면 차라리 다른 공학개론...딱 하나 좀 무한암기대전 아닌 거 있는 거 같던데. 그거로 가세요. 제가 왜 경영 쪽에 관심 좀 있다고 이걸 골랐나 모르겠습니다. 그럴 거면 경영 과목을 들었어야지 싶네요 그냥"
박용태,24년 1학기 수강자,20%,솔직히 공부 안해서 할 말은 없는데 시험 문제부터 너무 그냥....
박용태,24년 1학기 수강자,40%,"성적 되게 잘 안주고 깐깐함

2q3+2 정도인데 A-

암기량 많고 과제 은근 시간 걸림
책읽고 피피티만 열심히 외우면 됨"
박용태,24년 1학기 수강자,40%,"처음 수강신청할 때 강의평을 보고 그래도 암기과목인데 별거 있겠냐는 생각으로 시작했는데 정말 후회됩니다.
본인은 중간/기말 모두 Q3보다 한참 위였고 Term project도 만점이었지만 다시 돌아갈 수 있다면 수강하지 않을 것 같습니다. 이걸 왜 하고 있지라는 생각이 가장 많이 든 과목이었습니다.
그래도 수강하는 분들에게 이야기를 하면 지엽적인 내용보다는 전체 흐름(어떤 개념이 나온 배경, 원인, 장단점, 결과, 어떤 개념으로 바뀌었는지)을 시간 순서대로 보는 것을 추천합니다. 시험에서도 거의 이런것들이 출제되었던 걸로 기억하고, PPT에서 수식을 푸는 문제들이 있는데 어렵지 않게 변형하여 출제합니다. 꼭 여러 번 풀어보고 계산기로 직접 계산해보고 가야 시험때 시간 부족 없이 마무리할 수 있을 것 같습니다.(주어진 시간에 비해 문제 수가 많아서)"
박용태,24년 1학기 수강자,80%,공학개론이 아니라 경영대 교양 수업이라고 생각하고 들으면 솔직히 들을만함.
박용태,24년 1학기 수강자,20%,너무 별로에요 듣지마세요 진짜 너무 졸려요 시험공부어케해야될지를 모르겠어요
