Professor,Semester,Rating,Text
김형,24년 1학기 수강자,100%,"한 학기동안 Campbell biology에서 1단원부터 28단원까지 배웁니다.
생물학의 기본적인 개념부터 시작하여, 세포호흡, 세포분열, 유전, 진화, 분류 등의 내용을 배웁니다.
총 세 분의 교수님께서 들어오셨는데, 첫 번째 교수님은 시험 대신에 발표로 진행하셨습니다. 조를 정해주시는데, 그 조원들끼리 ppt를 제작하고, 발표하는 식으로 진행이 되었습니다.
두 번째 교수님은 유전 부분을 맡으셨고, 범위가 범위인만큼 시험 범위가 정말 많습니다. 그래도 생물학 1이라서 그런지 무난무난하게 출제하셨고, 대부분 개념어에서 나왔기 때문에 강의 자료만 열심히 봐도 높은 점수를 받을 수 있습니다.
세 번째 교수님은 진화와 분류 부분을 맡으셨습니다. 최근에 이슈가 되는 관련 내용이나, 중요한 논문들을 가지고 오셔서 설명해주시는데 정말 재미있게 들었던 것 같습니다! 시험도 딱 배운 내용 수준에서 내셨습니다.

관심있는 내용을 깊게 배우지는 않지만, 생물학을 공부하는데 있어서 가장 기초가 되는 개념들을 배워갈 수 있어서 정말 유익한 시간이었다고 생각합니다."
현유봉,23년 1학기 수강자,80%,"생명과학부 주전공,복수전공 분반

좋았던 점: 지엽적인 암기를 많이 요구하지는 않음, 과제나 퀴즈 없이 시험을 3번에 나누어서 치름, 교과서의 내용 외에도 최근의 연구동향이나 흥미로운 논문을 소개해줌 (+1)

안 좋았던 점: 성적은 칼같이 잘라주는 듯

1. 교수: 최희정, 이준호, 현유봉 교수님이 1/3 씩 담당함.
ppt를 준비해주시기 때문에 교재를 따로 구매하지 않아도 시험대비는 가능함.

2. 강의: 캠벨 교재의 28챕터까지 한 강의에 한 챕터씩 진도를 나감. 교재의 내용을 모두 다루지는 않고 교재에 없는 흥미로운 내용을 설명해주기도 함.

3. 시험: 객관식, 단답형, OX문제, 서술형 등 다양하게 출제됨. 지엽적인 암기는 거의 안 나오는 편 (20개 아미노산 암기, TCA cycle 암기 등). 최희정 교수님의 1차 시험에서는 답을 여러개 고르는 객관식 문제도 출제됨.

4. 성적: A-
1차 시험 84/100 (평균:58.6, 최고:99,  최저:0)
2차 시험 87/100 (평균:68,   최고:100, 최저:0)
3차 시험 ?
각 시험마다 하루 전부터 공부해서 얻은 성적이지만 더 열심히 해도 학점은 비슷했을 듯."
김종서,21년 1학기 수강자,100%,"친절하게 수업해주십니다
시험은 개념 확인 수준 문제+수업 시간에 따로 강조해주신 부분으로만 내셔서 높은 학점 받기도 좋았어요"
김종서,21년 1학기 수강자,100%,수업 재미있고 시험도 그렇게 안 어려워요!! 그냥 책 1회독 하고 논문 지정한 부분만 읽으면 만사 ㅇㅋ입니다!!! 교수님 엄청 친절하시고 열정은 말도 못해요 최고입니다!!
김종서,21년 1학기 수강자,100%,"생물학1은 총 3분의 교수님께서 수업하시는데, 첫 파트(1~11단원)를 맡아주셨습니다. 교수님이 자상하시다는 게 느껴졌고, 학생들에게 관심을 가지려고 하시는 모습이 돋보이셨습니다. 일반적 생물학 수업과 달리 캠벨을 벗어나서 논문 같은 자료를 가져오시기도 하지만, 유익한 내용 위주로 구성하시려는 노력과 열정이 정말 강하셨습니다. 시험은 캠벨 ppt와 논문 자료 중에서도 꼭 보라고 하신 일부만 잘 보면 점수 잘 나올듯 합니다! 객관식, 단답형(빈칸 채우기), 서술형 유형이 혼용되서 나오는데, 헉할 정도로 문제가 나오진 않았습니다!"
김종서,21년 1학기 수강자,100%,재밌음. 공부할 게 많긴 함(수업 자료+책) 그러나 수업을 정말 재미있게 하심. 생물학에 흥미 붙이기 좋은 수업
송자경,24년 1학기 수강자,60%,"시험은 그냥 이해력 보다는 암기력.. “모두 고르시오”가 킬러임. 강의력은 그럭저럭, 수업중에 시험 문제 1-2개씩은 알려주심."
송자경,24년 1학기 수강자,60%,"수업은 힐리스 생명의 원리 교재로 진행하고, 교재애서 사실상 미사여구만 조금 뺀 ppt를 사용합니다. 수업 시간에는 ppt만 읽어주세요. 강의는 굳이 들을 필요는 없고, ppt 통째로 외워가면 A+ 나오기는 합니다. 그리고 ppt 끝부분에 문제들이 있는데 OT 때 대부분의 문제가 여기서 나온다고 하지만 실제로는 크게 관련 없으니 그냥 본문만 열심히 보세요."
송자경,24년 1학기 수강자,20%,"(강의 범위) 단학기 수업인데 다루는 범위가 너무 넓고 시험 스타일도 너무 더러워서 지엽적으로 다 알아둬야 함, 생물 전공도 아닌데 별의별 동식물 원생동물 이름 다 공부해야 할 줄은 몰랐음.
(시험) 이처럼 범위가 너무 넓어서 3회 시험을 보지만, 그럼에도 체감되는 부담감이나 피로도는 거진 4,5학점짜리 수업 같음.
(수업 스타일) 그렇다고 수업을 재밌거나 유익하게 하시냐? 그것도 아님. 영어로 된 피피티 그대로 읽는 게 9할 이상이며, 이마저도 항상 수업 시간 오바해서 끝내주시는 점에서 학생들 배려는 아예 안하신다고 느껴짐.
(공휴일 수업) 선거일, 공휴일 등에도 줌으로 1시간 반짜리 영상 올리면서 하시는 말씀 “원래는 대면이었는데 배려해준거다, 줌영상이니까 평소 수업보다 많이 나가겠다”
(기타) 본인 수업에 대한 피드백을 요구하며 열린 교수인 척하지만, 강의 범위에 대한 피드백 등은 묵살하고 본인 입맛에 맞는 피드백만을 수용함.

(총평) 저처럼 영어강의 치우기 위해서 이 강의를 신청할 분들께는 매우 비추하며, 생물이 너무 좋아서 자기 전까지도 생각나는 분들께는 매우 추천합니다"
송자경,22년 1학기 수강자,100%,슬라이드 정리 잘 돼있어서 공부하기 편합니다. 노력하신면 좋은 점수 받을 수 있습니다.
