Professor,Semester,Rating,Text
신승관,24년 1학기 수강자,60%,"실험은 조별로 진행하고 실험이 어렵진 않아요
발표 한 번, 보고서 세 번 작성하면 되는데, 보고서 평가 기준이 조교님마다 달라서 좀 맘에 안 듦"
신승관,24년 1학기 수강자,100%,"생물학에 대한 기본적인 실험들을 수행할 수 있었고, 정말 유익한 시간이었습니다.
첫 번째 모듈은 세포의 관찰인데, 감수분열과 체세포분열을 관찰하고, 동물세포와 식물세포를 비교하는 실험을 하였습니다.
두 번째 모듈은 유전학이고, 초파리 멘델 유전학, 초파리 침샘 염색체 관찰, 지문 확인 실험을 하였습니다. 멘델 유전학 통계처리가 귀찮을 수 있는데, excel을 잘 다루면 조금 편할 것 같네요ㅎㅎ
세 번째 모듈은 DNA랑 관련된 실험이었습니다. PCR, 형질전환, 제한효소 처리 등의 실험을 수행하고 결과를 해석하는데 중점을 두었습니다.
그리고 마지막으로는 각자 자유주제 발표를 수행하였습니다. 약 7~8분 정도로 진행되었으며, 발표 후 질의응답이 있었습니다.

처음에 보고서 양식을 제대로 안 보고 제출해서 C+을 받았는데, 올려주신 보고서 양식을 잘 확인하고, 과제만 잘 제출해도 성적을 잘 받을 수 있을 것 같습니다.

모듈 1 : C+, 모듈 2 : A+, 모듈 3 : A+,  발표성적 : 모름 으로 최종 결과는 A+를 받았습니다.

투자한 시간만큼 많은 것을 배워갈 수 있었으며, 재미있는 실험과목이었습니다."
백대현,24년 1학기 수강자,20%,"조교가 이상하면 그냥 거르시길(김동X)

예비군 갔다가 실험 감점당했는데, 항의하니까 조교가 인성부터 갖추라고 말함.
자기는 발표수업 때 빠져놓고 그 대타한테 잘못된 정보를 받고 그걸로 나를 훈계함.
자기 자료에 틀린 것을 적어놓고 그것 때메 감점을 당해서 항의하니까 무논리로 우겨됨 

이런 일들 때문에 생실1,2 보고서, 발표 중 유일하게 B 나옴. 이 조교 보면 그냥 런 하는거 추천함"
황수석,24년 1학기 수강자,100%,기한 전날에 열심히 밤새면서 보고서 써야되는게 힘들긴한데 보고서 3번밖에 없고 필요한 거만 들어가게 적당히 쓰시면 좋은 성적 받으실 수 있을거에요
이원재,22년 1학기 수강자,60%,"생실… 힘들다 역시
reference 하나하나 다 달아야하니 주의
3주차 실험 하루만에 보고서 몰아 쓰려니 너무 힘들었음.ㅋㅋㅋ미리미리 쓰길
3주차 실험 양을 한 보고서로 해서 총 3번의 보고서, 그리고 2인 1조 발표 1번임.
근데 보고서제출, 출석에만 문제없으면 일단 B-는 확보.
다른 실험보다 성적은 잘 주는듯
우리 분반은 18명 중 6명이 A+, 5명이 A0
보고서 제출은 지각 제출하면 최종학점 알파벳 한 단계 down되니 지각 제출을 가장 주의해야할 듯
힘들긴 했는데 버티면 성적은 어느 정도 보장된다고 할 수 있음."
현유봉,24년 1학기 수강자,100%,"모듈 1,2,3 발표 순서대로 A A+ B 모름. 받고 A+ 나왔습니다.
할 게 많기는 한데 올려주시는 우수 보고서 참고 잘하기. 보고서 작성법 설명해준 유의사항이랑 들어가야 하는 것만 고려해서 잘 녹여내면 점수 잘 주시는 것 같아요."
현유봉,23년 1학기 수강자,100%,"모듈 1,2,3,발표 순서대로 A B A+ A+ 받고 최종 학점 A+ 나왔습니다! 다른 분들 참고하시라고 씁니다! 조교님들 대체로 착하시지만 깐깐한 기준을 가지고 채점하시는 분들도 간혹 있다는 점 알아두시면 될 것 같습니다.!"
현유봉,20년 1학기 수강자,80%,"레포트가 세번밖에 없고 실험 난이도도 높지 않아서 물화생실중에 그나마 제일 할만합니다
근데 레포트 세개 이외에 발표도 한 번 있어서 발표 싫어하는 분들은 부담될지도
논란이 많았던 생실이지만 마지막에 학점은 그만큼 다 잘준듯해요"
최연희,23년 1학기 수강자,60%,"보고서 3번과 발표 1번을 각각 상대평가하고 그 점수를 기준으로 학점을 주는데, 보고서 점수 기준이 생각보다 까다롭고, 조교님들이 루브릭 다시는 걸 보면 분명히 세부 채점 기준이 있고 그 항목도 학생들에게 공개할 수 있으면서 오티 때 정확하게 다 공지하지 않아서 점수가 오락가락합니다. 발표는 시간 넘어가면 크게 감점하는 것 같습니다. 그리고 보고서 하나는 상대평가 점수 안나온 상태에서 학점이 나오기도...수업 운영은 괜찮은데 이런 부분이 개선 필요합니다."
최연희,23년 1학기 수강자,40%,"조교가 다 망친 강의...
점수 기준이 지나치게 깐깐하다
그리고 내가 꼰대라서 그런지는 몰라도 한 사람이 참 예의가 없었음
그냥 다른 수업 듣는게 더 좋을듯 합니다"
최연희,23년 1학기 수강자,60%,"점수 반영은 출석과 보고서 3회 그리고 발표 1회로 이루어집니다. 수업 내용에 해당하는 실험 자체는 어렵지 않고, 조별로 활동하는 것에 중점 두고 있습니다. 하지만 보고서를 하나라도 1분 늦게 낸다면 최종학점이 3단계 내려가는 것은 좀 심한 것 같습니다. 심지어 제출 기한도 일정하지 않아서 공지를 읽어보셔야 할 것 같습니다."
조형택,21년 1학기 수강자,100%,실험은 교수님 상관없으니까 시간 맞는거 들으시면되고 생실이 학점 엄청 잘주고 물화실보다 훨씬 편합니다
조형택,21년 1학기 수강자,100%,"세 가지 모듈에 대한 보고서 3개 제출하고 조별 발표 한 번만 하면 됩니다 ! 조교님들께서 이론 설명 열심히 해주셔서 일반생물학을 동시에 수강하지 않았음에도 내용 이해하는 데 큰 어려움은 없었습니다. 분반별로 학점 차이는 꽤 나는 것 같구요.. 모듈 점수 중에서 b+가 여러 개 있었음에도 최종평점이 a0가 나온 것으로 보아 이 분반은 학점 후하게 받은 것 같네요 지각, 지각제출, 미제출, 표절, 발표미참여 등은 c+~f의 학점을 받게 되니 조심하세요"
성노현,21년 1학기 수강자,100%,22-1 수강했습니다. 발표는 잘 모르고 모듈A+ 한번밖에 없었는데 최종 A+ 나왔습니다. 학점 정말 잘 주시고 조교님들 친절하시고 사람들 좋습니다 실험 들어야되면 추천
성노현,21년 1학기 수강자,100%,C+ 하나 B-하나 B+ 하나 발표 B0. 학점 B+ 받았습니다 ㅋㅋㅋ 감사합니다 교수님!! 들으시면 좋은 강의 같습니다
박상현,21년 1학기 수강자,100%,비대면이라 정말 편하게 수업 들었음. 물론 레포트가 부담되기는 하지만 3개 실험을 한 번에 묶어 제출하므로 부담을 덜음. 1학년 때 들었어서 레포트 쓰는 데 혼란이 있고 하지만 계속 하다 보면 보이는 게 있고 정 모르겠으면 과목 조교님 피드백 받으면 도움 됨. 조별 과제로 발표하는 게 1번 있는데 성의껏 하기만 하면 만점 주시는 듯.
