Professor,Semester,Rating,Text
허태혁,24년 1학기 수강자,20%,"아쉽습니다...
성격은 좋으십니다
수업을 들으며 수학에 대한 흥미를 잃어가는 것 같았습니다"
허태혁,24년 1학기 수강자,20%,"설명을 정말 못하십니다
특히 칠판 판서 보면 그냥 책 베끼는 것 같이 느껴집니다

성적 진짜 개같이 주시는데 다시 볼 일 없었으면 좋겠네요"
허태혁,24년 1학기 수강자,20%,주관적으로 운영되는 과목입니다. 이해할 수 없는 성적도 가끔 있으니 조심하세요
허태혁,24년 1학기 수강자,20%,"중간 q3 기말 q4 인데 A0나왔습니다

조심하세요"
허태혁,24년 1학기 수강자,40%,"강사님께서 다소 실수가 잦으십니다. 수업 중 계산 실수 및 오개념, 과제나 시험에서의 문제 오류 등 거의 매번 강사님의 실수로 인한 이벤트가 존재했습니다. (개중에는 아예 틀린 명제를 증명하라는 문제 또한 있었습니다.) 이에 수업 준비를 열심히 하시지는 않는 것으로 보입니다. 다른 선택지가 있다면 굳이 들으실 필요가 있는 강의는 아닐 겁니다.
피할 수 없으면 즐깁시다~~~!!"
허태혁,24년 1학기 수강자,80%,"중간 q2-8 기말 q3+13으로 A- 받았습니다.

 솔직히 중간 때문에 B 나올 줄 알았는데 다행히 교수님이 너그러우셔서 A라도 받은 것 같습니다.

 강의력 자체는 평범합니다. 질문 잘 받아주시고 학생한테 이것저것 알려주려는 게 보입니다.
 다만 부록 내용을 다룰 것이라면 확실히 다루든지, 아니면 말든지 하는 편이 좋았을 텐데, 완급 조절 실패해서 겉핥기 지식만 다룬 건 조금 별로였습니다.

 과제 1, 2, 4는 적당히 미적분학 책 내용을 알면 풀 수 있는 것들로만 나왔지만, 과제 3은 부록 내용을 이용하는 문제들이 나와 까다로웠습니다.

 중간고사는 매우 쉬웠고 기말고사는 어려웠습니다. (쉬웠는데 제 점수 꼬라지가 저런 건, 빨리 집에 간답시고 한 시간 만에 다 풀고 나가버려서...입니다. 기말 때는 마음 고쳐먹고 끝까지 남아 검토했음)"
허태혁,24년 1학기 수강자,60%,"전제사항: 원래 이경화 교수님께서 수업을 하셔야 했지만, 이경화 교수님께서 연구년(年)이셔서 강사님과 수업을 진행했습니다. 수리과학부 수학 1과 독립적으로 운영됩니다. 즉, 중간•기말고사 및 기타 평가 요소가 수리과학부 수학 1과 완전히 다른 것입니다.

평가: 개인적으로 좋은 평가는 드릴 수 없을 것 같습니다. 2학점에 할당된 시간에 맞지 않게 부록에 시간을 많이 쓰시는 모습이 보였고, 학과 내에서도 강의력이 그렇게 좋지는 않다는 여론이 있었습니다. 단, 초임이라는 점에서 어느 정도 참작은 될 수 있겠습니다. 성적은 칼같이 잘라서 주시는 것 같습니다.

로드: 중간•기말고사와 수리과학부 수학 1에는 존재하지 않는, 4회의 과제가 있습니다. 과제는 미적분학 1 교재에 있는 연습문제 중 9~10문제 + 긴 문제 2~3문제 정도가 주어집니다. 그런데 그 중에서 5문제만 채점합니다. 따라서 학생들 입장에서는 허망감이 조금 들 수도 있습니다.

기타: 중간•기말고사 시험 문제는 네이버 서울대학교 수학교육과 카페에 재구성본이 있습니다."
이호주,24년 1학기 수강자,20%,"소통이 불가능한 분입니다
성적은 A+이지만 강의평은 잘 드리고 싶지 않네요..."
이호주,24년 1학기 수강자,40%,수업 판서가 따라가기 어려워요. 출석 까다로움
이호주,24년 1학기 수강자,100%,출튀는 잡으시지만 어차피 기말 전후로 출석 인정용 과제가 나가서 이것만 하면 출석 만점 받습니다. 별도의 필수 과제는 없고 교수님께서 열정적으로 가르치십니다.
