Professor,Semester,Rating,Text
정훈영,22년 2학기 수강자,100%,"갓훈영 교수님께서 이번 학기 에자공개 맡아주셔서 좋았습니다...
성적은 절대평가로 진행된다고 학기초에 이야기해주셨는데 85이상 A로 기억하고, 이 부분은 교수님께서 학기 말에 최종 성적 분포를 보고 조절할 수 있다고 얘기하셨습니다.
여러 연사분께서 강의해주셨는데, 대부분은 유익했습니다. 이쪽 분야에 관심이 있으면 꽤 재밌게 들을 수 있는 부분들이었습니다.
기말고사가 꽤나 지엽적으로 나오는데, 정훈영 교수님께서 출제 범위를 집어주셔서 부담이 많이 줄었습니다. 학기말에 ppt를 모으면 1000페이지가 넘어가는데 이걸 다 공부했을 생각하니까 아찔하네요.
에자공개 담당 교수님이 매년 바뀌시는 것 같은데, 정훈영 교수님이 아니셨다면 이렇게 좋은 평가가 나오지는 않았을 것 같아요~
유일한 단점이라면 책팔이 교수님 한분 계시다는거~"
정훈영,22년 2학기 수강자,100%,"강의 내용: 에너지자원공학과 교수님들이 돌아가면서 강의하는 방식으로 수업이 진행됩니다. 에너지자원공학 내용 전반을 다루는데, 모든 교수님들이 기후변화에 대해 언급하시지만 강의의 주요 내용은 에너지자원공학의 여러 분야들에 대한 설명(지하구조물, 신재생에너지, 석유공학, 암반공학, 에너지자원환경 등등)입니다. 

과제: 매주 과제에 대한 요약문을 제출하는 과제와 10분 내로 끝나는 퀴즈가 있습니다. 퀴즈는 거의 학점에 반영되지 않는 것 같고 요약문을  3페이지 이상 꼼꼼하게 작성하면 가산점을 주기 때문에 요약문을 잘 쓰는 것이 생각보다 중요합니다. 비중은 35%입니다. 

출석: 직접호명 방식으로 진행합니다. 2시 정각에 없으면 지각처리되는 엄격한 방식입니다. 추가로 수업중 발표나 질문 등 수업참여를 하면 가산점을 주었습니다. 

시험: 기말고사 한번입니다. 기말고사 비중이 50%으로 아주 중요한데, 이번 학기에 정훈영 교수님이 맡으셔서 아주 합리적인 방식의 시험이 되었습니다. 기말고사에 출제될 파트를 30개 정도로 제시해 주셨고 이 파트에서 시험문제가 모두 나왔습니다. 시험문제는 객관식, 단답형, OX방식으로만 나오고 정훈영 교수님이 나온다고 하셨던 계산문제가 2문제 나왔고, 45점 만점에서 각각 5점, 3점으로 출제되었기 때문에 계산문제는 무조건 맞춰야 되는 시험이었습니다. 
저는 에너지자원공학에 흥미가 많아 평소에 수업을 열심히 들었고, 시험 출제되는 부분을 거의 다 암기해 45점 만점에서 40점을 받았습니다. 평균은 30점이었고 최고점은 43점으로 나왔습니다. 출제 범위를 명확히 정해주셔서 생각보다 암기할 내용이 적었던 것 같습니다.

학점: 저는 전체적으로 수업을 열심히 듣고, 요약문 가산점+수업참여 몇 번을 해서 A+을 받았는데, 성적을 어떻게 주시는지 모르겠으나 이전까지 강의평을 보면 343으로 잘라 주시는 것 같아 성적을 잘 준다고 하기에는 어려울 것 같습니다.

총평: 다른 공학개론은 들어보지 않았지만 수업 내용의 경우 문과 학생들도 모두 이해할 정도로 쉽고, 과제가 많지 않은데다 정훈영 교수님이 시험문제를 너무 지엽적인 부분에서 내지 않도록 관리해 주셔서 공학개론으로 선택하기 좋은 수업이라 생각합니다. 다만 정훈영 교수님 외에 다른 교수님이 수업하신다면 기말고사가 엄청난 양의 암기를 요구할 수 있어 주의할 필요가 있습니다."
정훈영,22년 2학기 수강자,40%,다 좋았는데 책팔이 하시는 교수님이 계세요 저는 운 좋게 전자도서관에서 빌려 봤는데 구조상 대부분은 사서 보셨어야 될 듯..
최종근,21년 2학기 수강자,20%,"솔직히 공부 안하고 씨쁠받았다
근데 공부할 생각이 안 든다"
최종근,21년 2학기 수강자,60%,"시험을 한번 보기 때문에 당연히 전범위일 수 밖에 없는데, 세미나식 강의 특성상 한 수업당 평균 70페이지의 슬라이드 분량이기 때문에 합산하면 기말범위가 약 1000페이지 남짓이다. 디테일한 내용들을 다 빼더라도 외울게 상당하지만, 디테일한 내용들을 무조건 버리라고 할 수도 없는 것이, 너무나 디테일한 곳에서도 시험문제가 나오기 때문이다!

특히 가장 어이없는 건 통계치를 모조리 외우라는 것이다. 교수님께서 강의 중 수도 없이 예고하셨지만, 이렇게 통계치 묻는 문제가 노골적으로 나오리라곤 상상도 못했다. 특히 석유/천연가스의 매장량/생산량/수출량/수입량/소비량의 10(2x5)가지 항목에 대해 top3 국가를 모조리 적어야 하는 문제가 가히 충격적이었다. 즉 30개 국가를 외우고 있어야 한다는 건데, 뭐 이걸 다 안다고 해서 대체 어떤 이점이 있는지 난 아직도 잘 모르겠다. 심지어 '이 30개 국가가 시험에 나오니 그대로 외우세요'라고 한 것도 아니고, 그냥 '통계자료에서도 시험 많이 나옵니다' 라고 했는데, 자료에 보면 석유/가스의 매장량/수출량 등 뿐만 아니라 1차에너지 총 소비량 등 별의별 항목의 통계가 1위부터 5위까지 나열돼 있다. 그냥 이걸 통째로 외우라는 것이다. 

필자는 이걸 외우면서 대체 이런걸 왜 문제로 내는지 이해할 수 없었다. 교수님께서는 그 이유를 다음과 같이 말씀하셨다: 만약 주변에서 물어볼때 이걸 대답해주면 역시 서울대생이라는 소리를 들을 수 있다! 그런데, 가만히 생각해보자. 혹시 살면서 '전세계에서 천연가스가 두 번째로 많이 매장되어 있는 나라는?'과 같은 질문을 받아본적이 있는가? 지난 2x년동안 그런 질문을 받아본 적이 없다면, 이와 같이 매년 바뀌는 통계치를 외운다고 해서 과연 향후 1년 내에 그 질문을 받을 가능성은 얼마나 될까? 더 나아가 인터넷으로 검색하면 20초안에 나오는 것을 굳이 나한테 물어보는 일이 과연 얼마나 될 것이며, 그걸 모른다고 해서 대체 나에게 어떤 불이익이 있을까? 마지막으로 그걸 누가 물어보더라도, 내가 그냥 인터넷으로 검색해서 알려줘도 될 것들이다. 그런데 내가 왜 그걸 외우고 있어야 하는가? 난 그냥 도무지 이해를 할 수가 없었다.

뭐 조금 쎄게 언급을 하긴 했으나, 그렇다고 해서 많이 쫄지는 말자. 다들 다 못(안) 외우고 시험치기 때문에 평균은 처참하다. 시간을 들이는 만큼 더 많이 외울 수 있기에 성적은 더 잘 나온다. 다만 시간 투자 대비 성적 효율이 떨어질 뿐..

필자도 정말 욕하면서 공부하고 외웠다. 그 결과 A+을 받았지만, 시험 이주일 뒤인 현재 내 머릿속엔 남아있는 것은 탄소중립 단 하나뿐이다. 대체 뭘 배웠는지조차 잘 모르겠고, 인생에 어떤 도움이 됐는지 잘 모르겠다. 그냥 공학개론 하나 치운 셈 쳤을 뿐이다. 에너지자원공학에 관심도 하나도 없고 그냥 공학개론 치우려는 목적으로 들었던 수업이기에 더더욱 시간만 날린 것 같다.

공대 몇몇 학과들의 졸업요건으로써 공학개론 수강은 그 취지는 좋으나, 치명적인 약점이 있다. 그건 바로 공학개론을 가르치는 교수님들은 항상 타과생들을 가르친다는 것이다. 때문에 그냥 대충 가르치시는 것 같다. 피해의식인 것 같지만, 그냥 이 생각이 들 정도로 이상한 수업이었음을 알아줬으면 한다.

이쯤되니 별의별 생각이 다 드는데, 그냥 필자가 하고 싶은 메세지는 다 전달된 것 같으니 이만 줄이겠다. 결론적으로 절대절대절대 추천하고 싶지 않은 강의이다."
최종근,21년 2학기 수강자,40%,"""천연가스 매장량 4위는 투르크메니스탄으로, 연간 14조m^3를 생산한다""를 알아야 풀 수 있는 시험 문제는 왜 나올까요... 1년마다 바뀌는 수치를... 매장/생산/수입/수출/사용량 표가 시험에 나올 것이라고 미리 예고는 하셨지만, 공부를 하면서도 이런걸 왜 알아야하나 싶었네요. 
그런데 공부라도 하면 학점을 잘 주냐? 시험 과제 출석 합쳐서 상위 21퍼 정도 했는데 A- 받았습니다^^ 전공도 아닌데 이렇게까지..?
또 교수님께서 어려운건 빨리 가르치고 쉬운건 미친듯이 늘어지게 가르치십니다. 고등학교 수준을 벗어나지 않는 평균, 분산, 정규분포, 가설검정은 2시간 반 동안 설명하시더니, 라그랑주 승수법으로 보간 계수 행렬 계산하는 이론은 10분컷...
3학점 강의치고 과제는 적습니다. 그날 배운 내용을 10문장으로 적는 과제만 매주 있습니다. 유일한 장점이네요.
그리고 제가 환경에 관심이 좀 있어서 내용 자체는 재미있었습니다. 그래도 졸업 요건을 위해 치우는 용도로는 괜찮은데, 그게 아니라면 굳이...?"
전석원,20년 2학기 수강자,80%,"로드와 시험 설명은 아래에 언급이 많아서 생략하겠습니다.

개인적으로는 3학점 공학개론을 들어야 하는 과의 입장에서는 좋은 선택이 될 수 있다고 생각했습니다. 수업 시간에 다루는 내용들이 많이 부담스럽지도 않고, 지엽적인 문제가 몇몇 있으나 중요한 내용들을 수합한다면 유의미한 성적을 거두기 쉬운 편인 듯 합니다. 

과제의 경우에도 글감에 대해서 생각만 해내면 과제 수행 시간이 충분히 주어져 부담스럽지 않게 제출할 수 있다고 생각합니다.

성적이 딱 잘라서 부여되어 아쉽긴 했지만, 평가방식이나 성적 공개가 투명하게 되어 좋은 과목이였고 다른 사람들에게 추천하고 싶은 공학개론입니다."
전석원,20년 2학기 수강자,100%,"저는 괜찮게 들었는데 평이 미묘해서 놀랐네요

어차피 들어야 하는 공학개론이었기에 별 불만없이 잘 들었습니다. 솔직히 개론 강의라 덜 복잡하고 양이 적은 강의를 원했는데 적절한 난이도였던 것 같습니다.

채점 기준 같은게 명확하고 과제 기한도 상당히 넉넉하게 잡아주시기 때문에 별 부담은 없었습니다. 학생을 상당히 생각해주시는 교수님인듯 합니다. 질문 답변도 굉장히 빠르시고 수업 내용도 직접 체크해보시고 너무 어려운 내용은 생략해주십니다.

시험 방식은 교수님께서 첫 비대면 강의라 그런지 상당히 난해했습니다. 한문제씩 출제하셔서 하나 풀고 나갔다 들어오고 하나 풀고 나갔다 들어오고의 반복이었습니다.

물론 난해하긴 했지만 확실히 부정행위에 대한 의심은 없어서 좋았습니다. 비대면이라 치팅을 막기가 매우 어려운데 해당 시험 방식은 치팅이 불가능하기 때문에 적절했다고 생각합니다. 

시험 난이도는 지엽적인 문제 3문제 빼고는 대부분 쉬운 문제들로 구성되어 있었습니다.

이번학기 건환공개와 에자공개 둘다 들어봤는데 채점 기준이 명확한 에자공개가 몇배는 낫네요.."
전석원,20년 2학기 수강자,60%,강의는 전체적으로 나쁘지는 않은데 비대면 시험 방식이 좀 불만족스러웠다. 학점은 딱 비율 맞추는듯 하다.
전석원,20년 2학기 수강자,60%,"에너지자원공학 전반에 대해서 배우는 수업
강의 끝날 때 퀴즈가 한번씩 있고, 중간고사는 에세이 2편으로 대체
기말고사를 비대면으로, eTL 과제형식으로 했는데 시간제한이 빠듯하기도 하고 아쉬웠다"
