Professor,Semester,Rating,Text
홍성현,23년 2학기 수강자,60%,"중간 30명 중 10등
기말 27명 중 13등
출석, 과제 만점 B0
드미포로 주셔서 학점 중요하면 듣지 마세요.
과제는 솔루션 다 나와있음.
화학쪽 노베면 듣기 힘들 수 있음.
과제랑 시험문제랑 괴리 큼.
시험문제는 원론적인 것을 많이 물어봄."
홍성현,23년 1학기 수강자,20%,"공학개론을 듣게하는 커리가 문제인지 교수자의 문제인지.. 한학기동안 듣는 내내 화났던 과목

일단 배우는 내용이 굉장히 얕음. 과학 기사 수준도 안돰.. 아마 반도체 관련해서 좀 얻어가는게 있지 않을까 하는 전기과 학생들 많이 들을 것 같은데, 전자회로에서 배우는 것보다 덜 배우니 듣지 마셈.

그리고 교수님 강의력이 최악임. 말을 크게 시작했다가 마지막 동사 쯤 가서는 개미목소리가 되는데.. 안그래도 수업 때 하는 말 중 중요한 부분은 20퍼도 안되기 때문에 듣는 내내 욕밖에 안나옴

성적도 거지 같이 준다고 유명한 수업인거 같은데 이번 학기는 수강생 40명 언저리 쯤인데 100점 만점에 91점 이상이 18명 10명인가 그랬음. 성적 스트레스도 장난 아님

운 좋게 에이쁠 받았지만 이게 내 실력이라고는 생각하지 않는다. 제발 다른거 들어라.
그냥 D 받고 공학개론 치우겠다는 마인드면 나쁘지 않은 듯"
홍성현,23년 1학기 수강자,40%,"대체 이번에 비율 뭐로뿌린거임? 진짜 개열받네요 

갑자기 과제 6개가 한번에 뿌려지지를 않나  그냥 어이가없네요"
홍성현,23년 1학기 수강자,60%,"시험은 매년 동일하게 나옴
계산 같은거 할필요도 없이 단순 암기. 
공부한 시간이 아까움. 

수업이랑 교재는 정말 좋은데
시험 방식만 개선해도 좋은 수업일듯 하다."
홍성현,22년 1학기 수강자,80%,"솔직히 노력한만큼 나온다고 생각한다. 그런데 이제 노력의 큰 부분이 수업에 할애되어야 좋은 성적이 나온다. 왜냐하면 ppt가 거의 그림밖에 없어서, 수업을 놓치면 따라가기 힘들다. 막상 시험전에는 그냥 정리하고 몇번 읽고 갔다. 성적은 잘준다고 말하긴 힘들 것 같다. 필자는 4등이었는데 A0였다ㅠ 공학개론수업임에도 꽤 잘라서 주시는것 같다. 아무튼 솔직히 이번학기는 1교시에 대면으로 출석해서 집중하는게 좀 힘들었지, 로드나 난이도가 높은 거 같지는 않다. 아, 본인이 물리/화학적 지식이 있다면 정말 쉽게 들을 수 있을 것 같다. 필자는 아니었는데, 눈물이 나왔다. 정리하자면,
수업시간에 잘 안놓치고 집중해서 들을 수 있다.
필기를 깔끔히 잘한다.
이렇게 두개가 해당되면 추천한다(암기력은 솔직히 필요x 기본적인 이해만 요구함)"
홍성현,22년 1학기 수강자,40%,"과제는 거의 없는거나 마찬가지다.
내용은 중간까진 쉽지만 그 이후에 확 뛰어서 기말평균점수가 중간에 비해 낮아진다.
시험은 정성적인 이해 능력을 물어보는데 의외로 시험문제 퀄리티가 좋은 편인듯 하가.
교수님이 수업을 열심히 하시고 착하시긴하다.
근데 성적이 문제다. 첫날에 고학번들인만큼 잘주겠다고 했는데 보니까 235인지는 모르겠지만 343보다는 확실히 짜다. 
이번에 공학개론이 열리는게 이거밖에 없다시피해서 쩔수없이 치웠지만 다른 대안이 있었으면 그걸 했을것이다.
공학개론 치우기엔 좋지만 좋은 학점따기는 어렵다."
홍성현,22년 1학기 수강자,20%,"아래 수강평 두분은 정말 똑똑하신 분들입니다..
중간은 쉬웠지만 기말 중앙값이 50점 정도인데 95점 이상이 2-3분 계셨는데 그 분들인듯

수강평처럼 수업시간 내용을 100% 이해하며 따라가고 미리 외운다면 시험이 쉬울 것 같긴 합니다. 다만 개인적으로 복습을 제때하지 않으면 잊어버립니다. 휘발성이 매우 강합니다.. 제 필기가 무슨 의미로 필기를 했는지 모르겠더라고요..

게다가 학점은 235.. 40명 강의면 2-3명이 에이쁠인데 아웃라리어는 항상 존재한다는 점..

과제는 제출만하면 돼서 부담 없어요. 수업시간 집중+복습+암기 이 세개만 하면 에이는 받아갈 수 있을 것 같다는 생각이 드네요."
홍성현,22년 1학기 수강자,100%,"재료공에서 배우는 많은 범위를 커버함
초반은 화1 화2랑 겹치므로 고딩때 화학 공부했던 사람들은 수월하다. 중간고사쯤 해서 상평형과 상변태. 물질의 특성이 마오는데
공식으로 계산하는건 별로 중요하지 않았고 시험에 대한 힌트도 많이 주시는 편이다. 수업시간에 필기를 해두는게 도움이 많이 된다.
성적은 A+ 나올 성적이었고 그렇게 받았다. 
범위가 방대하여 교수님께서 모든걸 알고계시진 않는다. 
그래도 열심히 수업하시고 종종 재밌는(?) 얘기를 해주신다."
홍성현,22년 1학기 수강자,100%,"ppt를 전부 외우면 좋은 점수가 나와 좋은 학점을 받을 수 있습니다.
속기까지도 필요없고, ppt에 메모하면서 수업을 들으면 됩니다. 안 듣는건 안됩니다.
시험 문제도 생각보다는 지엽적이지 않으므로 이해하면서 꼼꼼히 외우면 됩니다.
특히 전부 외워야 할 것만 같은 단원(철의 제련 등)에서는 뭐가 나올지 알려주시고, 그것에서만 내십니다.
저는 믿지 못하여 다 외웠지만 그러지 않으셔도 될 것 같아요. 오히려 이해가 필요한 부분들에서 시험문제가 고지 없이 출제되니 참고하시면 좋겠습니다.
단순히 교과서를 읽지 않으시고, 더 넓은 것들을 가르쳐 주시려고 노력하십니다. (수업 자료가 그래요)
개론을 단순히 치우고자 한다면 비추이지만, 외우기에 자신있고, 글쓰기 같은 귀찮은 과제 없이 시험 두번만 보면 되므로 취향에 따라서는 오히려 괜찮다고 생각합니당"
홍성현,22년 1학기 수강자,40%,"후회~ 하고 있어요~
과제 - 없는 수준. 그냥 대충풀어서 내기만 하면 됨.
시험 - 쉽게 나옴. 근데 범위가 많고 평균 점수가 높음.
성적 - 잘라주는듯?"
