Professor,Semester,Rating,Text
김성준,21년 1학기 수강자,100%,설명 잘해주시고 질문에 친절히 답해주십니다. 기말 쉽게 내신다고 객관식으로 내셔서 너무 편했던 것도 있습니다.
김성준,21년 1학기 수강자,100%,"과제 10번 이내, 퀴즈 2회, 기말 1회로 평가
Hambley 교재의 많은 부분을 다루는 수업이지만 시험, 과제, 퀴즈는 이해만 제대로 하면 풀 수 있는 수준으로 나옵니다. 교수님 강의력도 좋은 편이라 따라가기 좋음.
참고로 이번 학기는 절평이었습니다."
조남익,24년 2학기 수강자,100%,"꿀강입니다~~
과제 10회 40% 시험 기말 한방 50% 출석 10%인데
시험은 58명 중 10등 하고
과제는 10개 중 6개 만점, 나머지 4개는 10점 만점에 1점씩 깎였더니 A0 주셨어요
거의 매주 코딩 과제가 있다는 게 귀찮을 수도 있지만
내용 자체가 난이도가 그리 높지 않고, 무엇보다도 일주일 두번 수업 중 수요일 수업은 온라인 녹강이여서 듣기 수월했던 것 같아요
아마 공대 대부분의 과가 타과 개론수업 하나 듣는 게 필수요건일 텐데, 개론 중에서는 전정개가 최고이지 않을까 싶습니다"
조남익,23년 2학기 수강자,100%,"공대 개론 중에선 정말 꿀이라고 생각합니다. 출석 부담도 적고 과제도 강의에서 다룬 내용을 직접 한 번 시도해보는 수준이라 부담도 적습니다
시험 난이도가 평이한 탓에 고득점을 받지 못하면 학점을 장담할 수는 없지만 시간 조금 투자하면 거의 다 맞을 수 있을 정도로 난이도가 어렵진 않았어요."
조남익,24년 1학기 수강자,100%,매주 강의를 올려주시면 보고 과제를 하면 된다. 강의력이 좋으시고 과제는 생각보다 간단하다. 시험은 기말 한방이다. 어렵진 않은데 범위가 커서 헷갈릴 수도 있으니 미리 공부해야 한다. 강계에 코딩이나 일차미방 정도는 알면 좋다고 쓰여있는데 일차미방 정도만 알면 따라갈 수 있을 정도의 수학만 사용한다. 성적은 망치지만 않으면 적당히 잘 주시는 것 같다.
조남익,24년 1학기 수강자,100%,"월요일 대면 수요일 비대면입니다
넓고 얕게 전기정보공학을 배울 수 있고 과제 10개 기말 한번 봅니다 학점은 막 퍼주시지는 않습니다"
조남익,24년 1학기 수강자,100%,"수업은 월요일 대면 강의, 수요일 수업은 영상 강의 입니다.
또 출석은 월요일 대면 강의에서만 출석부를 돌려가며 체크합니다.
월요일 수업에서는 영상 강의에 대한 복습을 진행하므로 영상 강의만 들어도 수업을 듣는데에는 지장이 없습니다. 

과제는 매주 주어지고 매트랩을 이용한 과제이며 조금의 시간을 투자하면 할 수 있는 과제들입니다. 과제 성적은 기말 고사가 다 끝나고나서야 한번에 채점된다는 단점이 있으며 어느부분에서 감점이 되었는지 언급이 되지 않습니다.

시험은 기말고사 한번이며 문제수가 많으며 범위가 생각보다 많습니다.

절대평가 방식으로 성적을 부여하며 제 기준 기말고사 10등 정도하여 A0를 받았습니다.

전기정보공학에 대해 폭넓게 배울 수 있었으며 교수님의 설명과 강의 자료가 잘 정리되어 이해하기에도 쉬웠습니다. 주에 한번이 영상강의인 점과 시험도 한번인 점을 고려해보았을 때 감히 꿀강이라고 할 수 있겠습니다."
조남익,24년 1학기 수강자,100%,학점이 너무 짜요..그래도 꿀강은 맞음..            ㅜ
조남익,23년 2학기 수강자,100%,매주 과제 있긴 하지만 1-2시간 안에 끝나는 수준. 시험도 깔끔하고 성적도 후해요
조남익,23년 2학기 수강자,100%,"전체적으로 너그럽게 주시는 것 같긴 하나, 시험이랑 과제랑 크게 변별력이 없어서 운적인 요소도 있긴 한듯. 꿀강은 맞음"
