Professor,Semester,Rating,Text
박세웅,24년 2학기 수강자,80%,"조교님들이 대부분 좋으셨습니다. 조별로 진행하는 실습 수업은 비교적 얻어갈 것들이 있다고 느꼈으나, 교수님이 하시는 이론수업은 무의미한 암기가 너무 많습니다. 그리고 프젝은 정말 괴로움이 많이 동반됩니다."
박세웅,24년 2학기 수강자,60%,"총평: 억까 때문에 혈압 올라서 죽을 것 같은 과목.
좋은 점: 이 조교님들이 계속 하시는진 모르겠지만.. 조교님이 네 분 이신데 다 따뜻하심 ㅜㅜ 인간적으로도 따뜻하시고 조교로서도 훌륭하셨다. 못난 수강생이었는데 조교님들께 참 감사함. 수업도 나름 재밌음. 전기과에서 배울법한 과목 느낌이긴 함. 실용적인 걸 배워서 재밌게 들었음
안좋은 점:진짜 개스트레스 받는 과목. 분명히 아무 문제없이 너무 잘되었고 한 학기 내내 순탄하게 흘러갔음. 프젝을 위해서 주말도 반납하고 2주동안 일주일에 4일은 학교에 출석도장 찍으며 나름 애정붙이고 하려 했는데 막상 본프젝 때 안됨. 웃긴건 조교님 앞에서 연습할 땐 잘됨... 끝나고 스트레스 받아서 뒷골이 땡겼음 ㅠㅠ 평가 방식을 바꾸셔야 할 필요가 있는 듯. 기회가 아니라 시간 내에 할 수 있는 걸로 해줬다면 만점이었을텐데 글고 시험도 족보 많이 타고 별로 의미없는 암기라 준비하기가 싫었음.
준비한 시간 대비 너무 허무하고 허탈하고 스트레스 확 받아서 별점은 짜게 주지만 조교님들 교수님들은 굿이었음.."
박세웅,23년 2학기 수강자,100%,"초반에는 다른 창공설 분반보다 보고서를 많이 써야해서 불만 스러웠지먼, 하다보면 오히려 좋았습니다. 조별 3명이라 프젝도 그나마 할만했던거 같습니다"
박세웅,23년 2학기 수강자,60%,"창공설은 창공설인 이유가 있다
시험은 ppt전체를 꼼꼼히 암기하면 잘 볼 수 있음
프젝 억까가 심함
조교님들이 성적을 잘 주신듯"
박세웅,23년 2학기 수강자,100%,학점 진짜 잘 주십니다. 초반엔 보고서를 일반 실험까지 전부 써야 해서 힘들었지만 후반엔 보고서도 없애주셔서 편했습니다.
이진호,22년 2학기 수강자,100%,"교수님께서 매우 친절히 설명해주시지만, 그 내용은 좀 어려운 과목. 전기과면 반드시 들어야 하는 창공설, 그냥 받아들이고 열심히 하시길."
이진호,22년 2학기 수강자,100%,"창공설 자체가 로드가 많은 빡센 과목이라고 들었는데 교수님이 영강임에도 불구하고 학생들 배려를 많이 하셔서 그런지 생각보다는 수월했습니다.
전기과 창공설 진행하셨고 학생 수가 많아서 룰렛으로 4명만 호명하는 방식으로 출석체크를 하셨습니다.
수업은 ppt로 진행하십니다. ppt만으로도 수업 내용을 알 수는 있는데 시험에 출제되는 부분을 집어주시기도 하시니 수업을 들으시면 도움이 될 겁니다.
시험은 중간 2번, 기말 1번으로 구성됐는데 마지막 기말에서는 이전 시험의 고난도 문항이 변형되어 출제됩니다. 하지만 전체적으로는 중간 이후의 진도 위주로 출제되어서 전범위 시험만큼의 부담은 없었습니다.
Q3, Q2, Q3+20 정도 받았습니다.
프로젝트가 가장 악명이 높은데 이건 어느 교수님 수업을 들어도 마찬가지라...
시험장과 실험실 환경이 다른 걸 대비할 수만 있다면 괜찮을텐데 그게 안 되는 게 문제라면 문제겠네요.
50점 만점에 37점 받았습니다.
학점은 A0 받았습니다."
이진호,22년 2학기 수강자,100%,"[수업]
Jinho Lee 교수님이 부임하신 후 맡으신 첫 강의로 이론 수업은 영어 강의로 진행된다. 수업은 앞으로 전기과에서 배우게 될 내용들을 찍먹하는 내용들로 구성되어 있다. 교수님 영어는 잘 이해할 수 있는 정도였다.
실험도 이론 시간에 배운 것에 따라 진행되는데 책에 있는 코드를 거의 그대로 옯겨 적는 방식이다. 추가 실험도 있는데 이거는 본 실험 코드를 변형하면 금방 끝낼 수 있다. 추가 실험과 수업 시간 중 끝내지 못한 실험은 보고서를 제출해야 한다.

[평가]
이론 시험은 총 세 번 치룬다. 첫번째 시험의 경우 배운 내용도 많지 않아 암기에 치중한 시험이었지만 두번째 시험부터 교수님이 난이도를 올리셨고 이해를 해야 풀 수 있는 내용도 출제하셨다. 그래도 교수님 설명을 잘 듣고 반복해서 봤다면 풀 수 있는 난이도였다. 세 번의 이론 시험 이후 그 악명 높은 라인 트레이서를 이용한 자율 주행 프로젝트가 기다리고 있다. 그나마 다행인 것은 이전에 비해 시험이 간소화되었다는 것이다.(그래도 쉽지 않다는 것은 함정) 솔직히 라인 트레이서 평가는 운칠기삼이다. 차를 만드는 과정에서는 조원 운이 필요하며 시험과정에서도 운이 전부이다. 그러니 기도하자.
(정확한 것은 아니지만 교수님이 etl에 점수를 올려주실 때 기본 점수로 20점 중에 10점을 주신 것으로 표시되었기 때문에 운의 요소가 타 분반에 비해 줄어들었을 수도 있다. 하지만 이거는 내 뇌피셜이므로 주의...)

[출석]
이론 수업은 연휴로 인해 동영상 강의로 진행된 경우가 많았으나 대면으로 진행된 경우에는 룰렛을 돌려 나온 사람들을 호명하는 방식으로 이루어졌다.
실험 수업은 실험 검사와 함께 진행된다.

[학점]
본인은 시험을 잘 본 편이 아니지만 프로젝트로 커버쳐서 딱 예상한 대로 나왔다. 주변 말 들어보면 조금 잘 주신 편이라는 것 같기도?(하지만 이것도 내 뇌피셜이니 주의...)

[그외]
이 수업 자체의 문제점이 많지만 교수님께서는 친절하시다.(건전지도 지원해주셨다.) 신청자에 한해 학생들과 상담도 해주실 정도로 학생들에게 관심도 많으시다. 다음 해에도 창공설을 담당하실지는 모르지만 Jinho Lee 교수님의 수업이 열린다면 교수님 수업을 추천한다.

[총평]
In Lee we trust."
이진호,22년 2학기 수강자,100%,"이 과목은 성적을 낼 때, 프로젝트의 비중이 시험보다 높습니다.
또 수업이 이론(월) / 실습(수)로 수업이 구분되는데 (22년 2학기 기준입니다) 실습시간에는 프로젝트를 위해 구성요소를 배워가는 수업을 진행합니다.

로드(프로젝트 로드는 따로 서술하겠습니다) - 이론수업은 과제가 없고, 실습 수업의 경우 실험마다 보고서를 써야합니다. 이는 전기과 창공설 전체 공통이고, 이진호 교수님도 보고서가 다른분반과 비슷합니다. 하다보면 크게 부담되는 로드는 아닙니다.

수업 - 이론은 영강입니다. 그러나 진행을 정말 깔끔하게 하시고 듣기도 괜찮아서 영강이라고 부담되진 않았던 것 같습니다. 이해 안되는 부분은 개인적으로 질문하면 한국어로 친절하게 설명해 주십니다. 출결은 랜덤 4명뽑기(ㅋㅋ)로 진행됩니다.
실습은 조교님이 한국어로 진행하십니다. 시간 내에 아두이노로 주어진 실험들을 처리하고 검사를 받습니다. 너무 어렵거나 하지도 않고 아두이노를 아예 할 줄 모르더라도 (코딩 베이스가 어느정도 있다는 가정입니다) 진행할 만 합니다. 또 어려운 
실험이라고 판단되면 기한을 늘려주시거나 아예 없애버리시는 등 유도리있게 진행하십니다.

시험 - 시험은 세번 진행했습니다(창공설 공통인 듯 합니다) 수업시간에 배운 것을 기초해서 나오고, 범위가 작은 경우 꽤 암기적인 사항이 나오기도 합니다. 하지만 난이도 조절도 잘하시고 저희의 니즈가 이미 잘 반영되어 있었습니다.
수업 중간중간에 어떤 것들에 대해 생각해보라 라고 말씀해주시는데, 그런 부분을 잘 공부하면 좋습니다. 저는 공부를 안해서(...) 망했는데 프로젝트로 어째 메꿔집니다.

프로젝트 - 창공설 프로젝트가 어렵고 억까인건 모든 분반이 공통된 사항입니다. 다만 이 분반에서는 추가점수나 간략화등으로 최대한 억까 방지를 제공하십니다. 그런 의미에서 이 교수님 분반을 추천합니다.

영강이라 다른 분반을 먼저 신청하고 거기서 튕겨져 나왔는데, 더 마음에 들었던 것 같습니다. 교수님도 정말 친절하시고 1대1 면담을 학기말에 신청받고 진행하실 만큼 학생들에게도 관심이 많으십니다! 추천"
이진호,22년 2학기 수강자,80%,"하…이 평점은 교수님 탓이라고는 할 수 없습니다…
프젝 땜에 너무 힘들어요…교수님이 프젝응 간소화하고 추가 점수를 부여하려고 노력하셨는데도 불구하고…힘듭니다…
영어 쉅은 재미있게 해주십니다. 되게 유쾌하십니다."
