Professor,Semester,Rating,Text
임종우,24년 1학기 수강자,60%,"c언어 처음 배우는 입장으로서 너무 힘듭니다. 교수님 말이 수업 내용 필기도 버거울 정도로 좀 빠릅니다. PPT도 C언어를 어느 정도 알고 있어야 이해할 수 있으며, 과제도 많이 어렵습니다. 

출튀는 미리 배우고 온 사람이 아니면 불가능할 것 같네요.
질문은 잘 받아주십니다."
임종우,24년 1학기 수강자,100%,"[수업]

수업에서 다루는 내용이 c++을 처음 접하는 사람이 배우기에는 조금 과하지 않나라는 생각이 들었습니다. 그래서 조금 어렵게 느껴질 수 있습니다. 그러나 수업 자료를 보면 굉장히 설명이 잘 되어 있어서 교수님 설명 없이도 이해하실 수 있습니다. 공부하실 때 Visual Studio랑 챗 지피티를 켜 놓고 하시면 도움이 많이 될 것입니다. 

[시험 / 성적]

시험 난이도는 조금 어렵다고 봅니다. 물론 c++에 익숙하신 분들은 제외입니다. 처음에는 true/false 문제로, 틀리면 점수가 1점 깎이고 맞으면 2점 얻는 식입니다. 나머지는 빈칸 채우기, 오류 찾고 고치기, 예상 결과 쓰기의 형식이 대부분입니다. 개념을 완벽하게 이해하고 있지 않고 구멍이 있으면 높은 성적을 기대하기는 힘듭니다. 개념을 정확히 이해하는 것이 중요한 것 같습니다. 

성적은 어떻게 주시는지 잘 모르겠습니다. 필자는 2Q4로 A+을 받았습니다. 

[로드]

매주 코딩 과제가 나옵니다. 그 주차 수업 내용과 관련된 과제이며, 코딩이 아직 낯설게 느껴지시는 분들은 친구들과 토의를 하면 해결할 수 있을 것입니다. 기말고사 즈음에는 프로젝트형 과제가 나옵니다. 

[출석]

굉장히 유합니다. 전자출결로 하고, 수업의 3분의 1 아래로 결석하면 출석 점수가 전혀 깎이지 않습니다. 심지어 랩 수업은 별도의 출석 체크를 하지 않고 과제 제출 여부로 출석을 확인하는 점 참고바랍니다. 금요일에 랩수업이 있었기에 잘 하면 유사 금공강을 만들 수 있습니다."
임종우,24년 1학기 수강자,100%,"강의력은 사람 취향마다 갈릴것 같음.
근데 피피티가 아주 양질임

시험은 중간 기말 한번씩 보고
O/X 퀴즈, 빈칸채우기, 오류 찾기 형식으로 나옴

매주 c++ 관련 과제가 나가고 
그걸 실습시간에 과제를 하는 느낌인데
본인은 출첵 안하길래 집에서 했음.

수업 범위는 
C언어 기초 ~ 모던 c++ 까지

수업이 처음 코딩배우는 사람한테 많이 어려울수 있음.
근데 그만큼 배워가는게 많다고 생각함. ㅇㅇ

결정적으로 드포에 넉넉한 성적 배치 주심
임종우씨 사랑해요"
임종우,24년 1학기 수강자,60%,"아직 강의가 끝나지 않은 시점임을 참고해주세요.

교수님께서 말이 빠르시고 다루시려는 범위가 넓습니다.

C와 C++ 전반에 걸쳐 다 다루며 수업 내용을 다 소화하려면 충분한 시간의 복습이 필요합니다.

보통 수업 시간에 모든 내용을 완벽히 이해하기에는 미리 C와 C++을 알고 있지 않는 이상 불가능하다고 생각되어서 혹시나 수강하고자 한다면 미리 조금 보고 들어오시거나 교수님 말씀을 수업시간에 최대한 적고 혼자 코드와 함께 곱씹어보는 시간이 필요합니다.

내용은 정말  중요한 내용이긴 합니다."
에거버나드,24년 1학기 수강자,80%,어셈블리부터 배우고 영강이라서 어렵긴한데 학점 잘 줌.
에거버나드,24년 1학기 수강자,100%,"로드는 빡세도 얻어가는 게 많고
학점 후하게 주는 고트 강의"
에거버나드,24년 1학기 수강자,100%,"근본 넘치는 컴개실
진짜 얻어가는 게 많은 강의
성적도 잘 줌"
에거버나드,24년 1학기 수강자,100%,"진짜 컴개실 알려줬잖아
실습도 시켜줬잖아
어셈블리, C, Python 다해줬잖아
학점도 잘줬잖아

다 해줬잖아"
에거버나드,24년 1학기 수강자,100%,교수님이 열정이 넘치십니다. 다만 코딩을 처음 접하는 학생들에겐 살짝 벅찰 수도 있어요.
에거버나드,24년 1학기 수강자,100%,"Goat, 
타과생이어도 반드시 이 컴개실을 들을 것
진정한 컴퓨터 공학의 시작의 길을 걷고 싶다면..."
