Professor,Semester,Rating,Text
박건웅,24년 1학기 수강자,100%,24 박건웅은 GOAT가 맞다. 조별과제도 적당히 빡셌고 갈은 과 친구들과 친해질 수 있는 좋은 계기이기도 했음. 시험도 개념을 정확하게 알지 못하면 헷갈리게 문제도 잘 내셨고 질문도 정말 잘 받아주심.
박건웅,24년 1학기 수강자,40%,"강의는 좋은데 나머지 모든 부분이 좋지 못합니다. 과제도, 조별과제도, 시험도."
박건웅,24년 1학기 수강자,60%,"수업 들은지 1달밖에 되지 않았는데도 너무 빡셈
중간고사 2회 기말 1번을 보는 상황이나
계속해서 팀프로젝트와 과제가 나가는 상황이 1학년 치고 로드가 많은 편인듯
물론 교수님도 팀프로젝트를 줄이는 등 나름대로 신경쓰시는 편이시지만
그럼에도 조금 어렵긴 한 것 같음."
박건웅,23년 1학기 수강자,40%,"통계학과 학생들끼리 보통 1학년에 수강하는 수업입니다. 일단 로드가 많다는 말로 시작합니다. 시험 3회, 과제 9회, 조별과제 4회, 그리고 한 단원이 끝날 때마다 보는 퀴즈 8회 있었습니다. 강의 방식은 기본적으로 월요일에 휴강하는 대신 영상을 봐서 한 단원이 끝날 때마다 수요일에 퀴즈로 확인하는 방식을 취했습니다. 따로 영상 출석체크는 없는 대신 수요일 출석체크로 월요일 출석까지 대체되는 것 같습니다. 여기서 매주 봐야 하는 영상이 체감 로드를 더 높였던 것 같긴 하지만, 강의자료를 보는 것만으로 퀴즈 대비가 가능한 경우도 있어 알아서 하면 충분할 것 같습니다. 퀴즈는 (특히 초반에 나와 있는) 용어나 기본 식 잘 살펴보고, 시험은 세세한 condition 등을 신경써서 공부하면 도움이 될 것 같습니다. 시험에는 매번 TF 문제가 많은데, 사소한 condition이 잘못되었다거나, 용어가 잘못된 경우(population 대신 sample 등) 등이 생각보다 많습니다. 한 번은 심지어 모든 TF 문항이 F였습니다. 또한, 채점기준이 과제나 시험 모두 전반적으로 부분점수가 별로 없는 형식이니 참조하시기 바랍니다. 서술형 채점도 있기는 하나, 기본적으로 명확한 답이나 조건 명시를 기준으로 평가하는 경우가 많으니 이것을 감안하셔야 채점이 간혹 후해지더라도 만족스러울 것 같습니다. 조별과제는 발표자료 못 만들면 일단 감점 들어가는 것 같습니다. 생각보다 쉽게 랜덤으로 감점당할 소지가 있는 것 같아서 노력해도 점수가 상당히 나갈 수 있을 것 같습니다. 평가와 별개로 강의는 타 통계학 강좌보다 더 쉽게 진행한다는 교수님의 말이 있었는데, 그렇다고 개념이 많이 빠지는 것 같지는 않습니다. 2025년부터는 다른 교수님께서 진행하실 것 같은데, 이 경우 시험 스타일은 아예 바뀔 것 같네요. 또한 새로 통계학과 교수님들께서 책을 만들고 계시다고 하네요. 다시 한번 생각해봐도 작년보다 조별과제를 줄였다고 하는데도 로드가 많다고 생각이 드네요… 한 학기 잘 버텨 보시길 바랍니다."
박건웅,23년 1학기 수강자,100%,"23-1이 22-1보다 평이 안 좋은 듯 보이지만 사실 로드는 완화됐다
줄어든 로드가 문제풀이 10회, 조별과제 4회, 고사 3회
뭔갈 얻어간다는 느낌과 뭔 삽소린가 싶은 느낌이 동시에 드는데, 본격적으로 전공 들으면서 해결될 문제로 보여짐
어차피 C 밑으로는 재수강할 거 안다며 학점은 D까지 골고루 뿌리는데 A 받는데 큰 영향을 주는지는 잘 모르겠음"
박건웅,23년 1학기 수강자,40%,너가 선택한 통계학과다. 악으로 깡으로 버티십시오.
박건웅,23년 1학기 수강자,20%,통계학과 학생들을 위한 기초통계학 강의입니다. 피할 수 없으면 즐기십시오
박건웅,23년 1학기 수강자,40%,"이 강의는 통계학과 학생들이 듣는 전공통계학 강의입니다. 교수님께서는 강의를 정말 잘하시지만, 단점이 굉장히 많아 좋은 점수를 드리기 어렵습니다.
우선 소위 말하는 로드가 상당히 빡센 강의에 해당합니다. 2주 간격-1주 간격으로 약 10문제-15문제 정도의 교재 문제를 풀어서 제출해야 합니다. 또한, 조별과제가 1학기 내에 총 4개가 있어서 결론적으로 로드가 타 교양 강의 대비 3-4배 정도 생각하시면 옳습니다. 물론, 이 강의는 통계학과 학생들이 듣는 사실상의 전공강의이기에 로드가 많은 것이 당연하게 인식될 수밖에 없습니다.
채점과 성적 산정도 아쉬운 점이 많이 있습니다. 이는 조교님이 두 분이라 발생하는 문제인데, 변별을 위하여 시험, 과제 채점을 상당히 깐깐하게 진행하고 특히나 조교님이 두 분이라 두 분이 생각하시는 채점 기준이 다른 경우가 많아 시험장에서 듣는 채점 기준과 실제 채점 기준이 다를 수가 있어서 조심해야 합니다.
등급 산정에 대해서는 공정하게 30/40/30 상대평가로 매기십니다. 교수님이 수업을 재미있게 잘해주신다는 것과 함께 본 수업의 장점이라고 생각합니다.
이러한 단점이 있지만 어차피 모든 통계학과 학생들이 들어야 하는 수업이기에 이 수업을 피할 수 없다는 것을 아실 것입니다... 여러분도 학점 난도질당하지 마시고 알아서 잘 살아남으세요..."
박건웅,22년 1학기 수강자,80%,"이 강의는 통계학과 전공생 1학년을 대상으로 하는 교양 통계학 강의입니다.

(1) 수업
원서인 Openintro Statistic을 교과서로 사용하며, 온라인에서 무료로 pdf를 구할 수 있습니다. 확률 기초, 가설 검정, 회귀까지의 교과서의 모든 내용을 다룹니다. 기본적인 강의의 성격이 ‘기초’ 통계학인 만큼, 비교적 어려운 내용이나, 수식적 증명은 생략하는 경우가 많고 이런 경우 교수님께서 해당 내용이 어떤 수업에서 다루는 내용인지 언급해주십니다. (주로 확개응, 수통 등)

강의는 녹화 강의와 대면 강의가 병행됩니다. 녹화 강의는 3월도 되기 전에 모두 유튜브에 업로드 되어있었고, 매주 할당된 양만큼 보면 됩니다. 교수님 홈페이지에 강의노트가 업로드 되어 있으며 수업은 교과서보다는 강의 노트 위주로 진행되니 다운 받아 활용하시면 됩니다. 모든 진도는 녹화 강의로 나가고 대면 수업에서는 비대면 강의 내용 복습 및 추가적인 심화 내용을 수업합니다. 시험에 나오는 어려운 문제들은 대부분 대면 강의 내용을 기반으로 하니, 잘 들으면 좋습니다.

교수님 강의력은 괜찮은 편입니다. 다만, 교재와 강의노트의 진행 자체가 매번 motivating problem으로 시작하고, 그로부터 일반화된 정리를 끌어내는 방식으로 구성되어 있어서 다소 배운 내용이 잘 정리가 안되고, 큰 그림이 잘 안들어오는 느낌이었습니다. 우선 수업을 들으시고, 강의노트나 교과서를 찬찬히 읽어보면서 여러 번 복습을 하면 좋을 것 같습니다. 

(2) 과제
과제가 많은 편입니다. 기본적으로 챕터가 끝날 때마다 10문항 내외의 교과서 연습문제를 풀고, 챕터 내용을 요약하는 과제가 주어집니다. 이 과제는 수기로 작성하거나, 인쇄하여 25동에 있는 제출함에 제출해야 합니다. 이번 학기의 경우 조교님의 부담을 덜어 드리기 위해 각 과제 당 5문제 씩만 선택해 채점하시겠다고 하셨습니다. 각 문제마다 딸린 소문제가 많아서 생각보다 시간이 좀 걸리는 편이었습니다.

그 외에 단원별로 수시평가가 있습니다. 수시 평가의 내용은 단원 내용 요약(2회), 초등학생 수준에서 단원 내용 설명하기(2회), 조별 2 sample t-test 데이터 분석(1회) 및 개인별 regression 데이터 분석 과제(1회)로 이루어져 있습니다. 수시평가의 경우 발표 영상을 찍어서 ETL에 업로드하면 교수님께서 대면 수업 중에 피드백을 주시고, 이에 대한 점수는 대부분의 경우 관대합니다.

(3) 시험
시험은 중간 2회, 기말 1회로 총 3회 진행됩니다. 중간1은 1~3장, 중간2는 4~7장, 기말은 1~9장 전범위로 치러졌습니다. T/F가 다수 출제되고, 단답형 문제와 서술형 문제가 나옵니다. 대부분 어려운 단답형이나 서술형 문제는 대면 수업에서 다루시는 내용에서 출제됩니다. T/F 문제와 단답형 문제는 교과서 연습문제를 조금 바꿔서 나오는 경우가 많고 T/F의 경우 낚시 문제가 많기 때문에 조심해야 합니다. 교수님 사이트에 기출문제와 풀이 영상이 있으니, 참고하면 좋을 것 같습니다.

(4) 퀴즈 및 출석
출석은 따로 부르지 않고 퀴즈로 대체합니다. 거의 매 대면 수업시간마다 퀴즈가 2문제 출제되며, 보통 용어의 정의를 주고 용어를 쓰게 하는 문제가 나오고 정말 가끔 계산하는 문제가 나오기도 합니다.

(5) 성적
성적은 비율에 맞게 주시는 것 같습니다.

(6) 총평
통계학과 전공생을 대상으로 하는 ‘기초’ 통계학 수업으로, 앞으로 전공을 하면서 어떤 내용을 배우는지 살펴볼 수 있는 목적에 충실한 수업이라고 생각합니다. 과제도 많고 시험도 3번이라는 점이 조금 큰 단점이기는 하지만, 동기들 모두 함께 듣는 수업이기 때문에 주위 친구들도 다같이 힘들어 해서 그나마 괜찮습니다. 이 수업을 듣게 될 통계학과 1학년 학생 모두 화이팅!"
박건웅,22년 1학기 수강자,40%,과제가 매우매우매우매우 많습니다.. 시험 3번 보고 학점도 비율 칼같이 주십니다... 출결은 대면 수업마다 퀴즈를 보는 것으로 대체하였습니다... 할게 너무 많은 수업.
