Professor,Semester,Rating,Text
김지수,24년 2학기 수강자,100%,"조교님이 친절하십니다.
가끔 시험시간에 부정행위를 하는 친구들이 있는데 주저할지 말고 꼭 조교님께 말씀드리길 바랍니다."
김지수,24년 1학기 수강자,100%,조교님이 설명을 꼼꼼하게 해주시는 편입니다. 중간 때는 코딩을 좀 할 줄 알면 통계학을 잘 몰라도 거의 풀 수 있는 정도였고 기말에는 통계학 공부가 꼭 필요했습니다.
김지수,24년 1학기 수강자,100%,조교님 괜찮으시고 과제도 시간 충분히 쓰면 점수 잘 나옵니다. 시험은 2번이고 쉽습니다. 한 시간씩 공부했더니 만족스러운 성적이 나왔습니다. 다만 통계학이랑 따로 들으면 좀 귀찮을 수도 있습니다.
이권상,24년 1학기 수강자,100%,조교님이 아주 친절하게 천천히 잘 알려주십니다. 따라가기 쉬워요.
이권상,24년 1학기 수강자,100%,과제 하나 안 내고 성적은 Q2 좀 넘었는데 에이쁠 달달
이권상,24년 1학기 수강자,100%,수업 맨날 지각하고 중간 기말 둘 다 Q2 아래였지만 A+.. 실험이라 그런지 성적 엄청 너그러워서 좋았습니다! 과제나 할 것들이 적진 않지만 타 실험에 비해 부담스럽지 않았어요.
이권상,24년 1학기 수강자,100%,과제하나 실수해서 늦게 내고 중간을 좀 말아먹어도 A+를 주시는 조교님... 사랑해요
이권상,24년 1학기 수강자,80%,"내용이 많이 어렵진 않았으나 과제가 5번 있었고, 시험을 2번 치는 보기보다 할 것이 많은 과목임. 그래도 실험 과목답게 성적 아주 너그럽게 주심. 조바조 겠지만 우리 조교님은 설명도 친절히 해주시고 좋으셨음."
이권상,24년 1학기 수강자,100%,R 배우는 강의. 전체적으로 무난했고 과제도 거의 한시간이면 끝낼정도로 무난하게 나옴. 다만 다른 통실도 그렇지만 이 강의는 웬만하면 통계학이랑 같이 수강하시는게 좋을듯합니다. 시험때 수식으로 증명하라는 식의 문제가 한두문제 나왔어서... 조교님 수업도 괜찮으시고 메일 답변도 빨리 해주셔서 좋았습니다.
이권상,23년 1학기 수강자,100%,"조교님 좋았다
실험이야 적당히만 하면 A+ 낭낭함"
이권상,22년 2학기 수강자,100%,"조교바이조교지만
우리 조교는 좋았다
짧고 굵게 일찍 끝내주시고"
이권상,22년 2학기 수강자,100%,"초반에는 격주로 휴강하는데다가 수업하는 날조차도 40분 이내로 끝내주시는 천사 조교님을 만나 행복하게 한 학기를 보냈습니다~ 물론 조교가 바뀔 수 있으니 강의 선택하는데 있어서 운이 좀 따르긴 합니다... 과제는 단원별로 8개가 나오는데, 전 다 만점 받아서 A+ 챙겨갔고, 아마 A+을 많이 후하게 주는 걸로 알고 있습니다. 과제 문제도 추가문제를 제외하면 이전 학기랑 같아가지고, 이전에 수강한 친구의 과제물을 참고하면 더 수월하게 할 수 있지 않을까 싶습니다."
이권상,22년 2학기 수강자,100%,"수학연습이랑 마찬가지로 A+ 뿌리는 과목이에요.
부담없이 수강하면 됩니당"
이권상,22년 1학기 수강자,100%,"조교님이 전체 수업 다 하시는데 대체로 30분이면 수업 끝났고 휴강/비대면 많았습니다! 설명도 친절하게 다 해주셔서 과제 어렵지 않았고 A+ 받았습니다! 
출석은 앞에 나가서 직접 자기 이름에 표시하는 거였어요"
이권상,22년 1학기 수강자,100%,"조교님이 수업하셨습니다. 휴강도 꽤 있었고 녹강 대체인 주도 있어서 되게 편했네요 ㅎㅎ
과제는 총 8번이고 시험이 없다는게 정말 꿀이었습니다.
과제는 강의안 보시면서 차분히 하시면 됩니다. 저같은 코딩 포기자도 해냈어요
과제 8번 평균 93.8점이고 A+ 가져갑니다. 감사합니다 ㅜㅜ"
PARK JUN YONG,24년 2학기 수강자,100%,"강의자료가 좋고 조교님이 친절하시다
아예 포기하지만 않으면 좋은 학점 받을 수 있는 수업"
PARK JUN YONG,24년 2학기 수강자,100%,조교님이 정말 질문을 잘 받아주십니다. 또 강의자료도 정리가 잘 되어있어 혼자 공부하기 편합니다. 1학점짜리니까 드랍하지 마시고 조금 어려워도 그냥 듣는 것을 추천드립니다. 자드하려고 해도 학점 엄청 잘 주셔서 의외로 만족스러운 학점 받을 수 있습니다ㅎㅎ
