Professor,Semester,Rating,Text
김지혜,24년 1학기 수강자,60%,"러드가 굉장히 많긴한데 시험은 평이합니다
출튀를 많이 잡으셔서 출석 점수로 많이 깎였습니다 출석이 빡세요"
김지혜,24년 1학기 수강자,100%,"로드가 조금 많긴 한데 퀴즈 쉽고 시험도 쉽고 보너스 퀴즈라고 점수 추가로도 줌.
영과고 입장에서 이미 들었던거 또 배우는데 심지어 쉽게 하니 그냥 꿀 빨면서 보냄.
매주 과제 있는게 조금 킹받지만 서로 답 공유하다 보면 어차피 다 만점 받는..."
김지혜,24년 1학기 수강자,100%,알기 쉽게 설명을 잘해주십니다. 퀴즈가 좀 있습니다.
김지혜,24년 1학기 수강자,100%,"Goat
너무좋습니다
출튀 많이잡고 출석에 대해 메리트를 많이 주시는 편"
김지혜,24년 1학기 수강자,100%,"교수님 설명이 귀에 꽂혀서 좋았습니다
예제와 퀴즈만 달달 외우고 가도 할만합니다"
김지혜,24년 1학기 수강자,100%,"이번 학기에 들은 수업 중 가장 만족스러운 수업이었습니다. 교수님께서 수업을 잘 하셔서 강의 내용 대부분을 어렵지 않게 이해할 수 있었습니다. 교재에서 중요한 내용을 정리한 강의 자료를 직접 만들어 공유해 주셔서 과제를 하거나 시험 공부를 할 때 아주 편리했습니다. 강의 자료와 과제, 퀴즈, 시험 문제는 모두 영어이지만 저희 수업에서 강의는 한국어로 하셨습니다.
조금 부담스러울 수 있는 점은, 과제와 퀴즈가 꽤 많습니다. 문제 10개를 푸는 과제가 매주(총 12회) 있으며, 4~5문제를 제한 시간 안에 푸는 퀴즈도 학기에 5회 있었습니다. 가끔 추가 점수를 부여하는 보너스 퀴즈를 실시하기도 합니다. 하지만 문제가 그렇게 어렵지는 않고, 강의 노트의 예제와 이 퀴즈와 과제에서의 문제가 시험에 거의 그대로 나오거나 같은 형식으로 나오기 때문에 시험을 대비하는 데 있어서는 아주 좋았습니다. 수업을 잘 듣고 과제나 퀴즈를 잘 풀었다면 시험 문제도 쉽게 풀 수 있다고 생각합니다."
김지혜,24년 1학기 수강자,80%,"교수님 좋으십니다. 강의력도 좋으시고 강의 자료도 깔끔해서 공부하기 좋습니다. 매주 office hour 도 있어서 질문하러 갈 수도 있습니다.
노력하는만큼 성적 받아갈 수 있는 수업입니다. 시험문제는 과제, 퀴즈, 교안에서 거의 다 나옵니다.
다만, 로드가 많습니다. 과제 12회, 퀴즈 5회, 중간 기말이고
과제는 매주 10문제씩 푼다고 생각하시면 됩니다. 불시에 보는 보너스 퀴즈도 있고, 가끔 앞에 나가서 문제 풀면 가산점 주십니다.
로드가 많아 좀 힘들 수는 있지만 평소 열심히 해놓으면 시험 기간에 확실히 덜 부담됩니다.
전자 출결이지만 가끔 출튀 확인용 출석도 부르십니다.
성적은 잘 주시는 편인 것 같습니다. 상대평가이지만 절대평가처럼 줄 것이며, 잘하는 학생은 그에 맞게 성적 준다고 말씀하신 적 있습니다."
김지혜,24년 1학기 수강자,80%,"수업은 좋은데, 조교들이 이상함.
시험 후 조교들이 실수했음에도 불두하고 그 책임을 학생에게 넘김. 다만 성적은 너그럽게 주심."
김지혜,24년 1학기 수강자,100%,"강의 난이도는 교양과목에 걸맞게 어렵지 않습니다. 교수님께서도 설명을 정말 잘 해주시며 PPT(강의노트)가 정리가 잘 돼있어 따로 내용을 정리할 필요도 없습니다. 
 단점이라면 강의와 시험이 영어로 진행된다는 것, 로드가 다소 있는 편으로 10문항짜리 과제 12번과 퀴즈 4-5문항짜리 5회를 실시합니다. 하지만 시험이 1-2문제 제외하곤 과제와 퀴즈 변형이라는 점에서 시험에 부담이 없다는게 가장 큰 장점입니다.
 전자출결을 기본으로 하긴 하지만 가끔 수업 중간에 출석을 부르는 경우도 있는데다 강의 중 발표를 하거나 보너스 문제를 풀 경우 추가 점수로 주셔서 성실한 학생들이 점수를 잘 받아갔을 거라 생각합니다."
김지혜,24년 1학기 수강자,100%,"강의력이 좋으신 편이고, 다른 끔찍한 강의들에 비하면 정말 좋은 수준.
PPT가 특히 잘 정리되어 있어서 독학도 가능합니다.
수업 시간에 예제도 많이 풀어주시고, 보너스 퀴즈로 점수도 챙겨 주십니다.
단점은 로드가 좀 있는데, 객관식 10문제 과제가 12번정도 나가고
15분 퀴즈도 수업시간에 5번 정도 봅니다.
평소에 개념 복습만 해줘도 잘 풀 수 있고, 시험은 무난합니다.
전자출결인데 가끔 출석도 부르십니다."
