Professor,Semester,Rating,Text
김연상,23년 2학기 수강자,60%,다른 개론을 들어본건 아니지만 학점 넘 짜다. 교수님 인성은 만점
김연상,23년 2학기 수강자,100%,"그저 갓연상... 데채 웨 않들엉?

1. 시험 : 중간고사(쪽지시험) + 기말고사 + 오픈북 기말고사
원래는 중간고사가 없었던 것 같은데 이번 학기에는 쪽지시험 형태로 중간고사를 응시했습니다. 중간고사를 봤어도 기말고사는 전범위였습니다. 중간고사와 기말고사 모두 closed-book으로 문제는 90%이상 수업시간에 다룬 예제 or 숙제 문제에서 나와 공부를 하면 시험을 잘 볼 수밖에 없었던 구조였습니다. 
그리고 과제 형태로 제출하는 open-book 기말고사가 하나 더 있는데, 숫자가 좀 틀려도 열심히만 하면 되는 것 같습니다. 생각보다 시간이 꽤 걸리니 제출 몇시간 전에 급하게 시작하면 끝내지 못할지도 모릅니다ㅎ 친구들과 미리 시간 맞춰 함께 푸는거 추천!

2. 과제 : 매 챕터마다 1-3문제, 프로젝트 제안서+보고서
수업 시간에 진도를 나가며 한 챕터가 끝날때마다 그 챕터의 연습문제가 과제로 나갑니다. 처음 몇단원은 과제로 4-5문제까지 나왔는데 어떤 학생이 과제가 많다고 이메일을 보냈다며 다음 단원부터 1-3문제로 줄여주셨습니다. 엑셀 쓰는 귀찮은 문제가 몇개 있지만 그래도 30분컷 가능한 과제들입니다. 챕터가 많아 제출 횟수는 많지만 빠르게 끝낼 수 있습니다.
자신의 전공과 화학생물공학을 연관지어 10페이지 정도의 보고서를 작성하는 과제가 있는데, 사진이랑 참고문헌 넣으면 분량이 금방 찹니다. 논문 내용 리뷰하면서 적절히 생각 쓰면 되는거라 별로 부담 안됐습니다.

3. 출석
거의 안부르십니다. 학기초에 4번? 정도 부르신 것 같은데 그마저도 이전시간에 “다음시간에 출석부르니 오세요”라고 공지해주십니다. 근데 저는 모든 수업 다 갔어요. 마음껏 빠질 수 있는 수업이라고 생각해서 수강하는건... 개인적으로 교수님에 대한 예의가 아니라고 생각합니다. 수업 엄청 일찍 끝내주시니까 수업 가세요.

통계량은 따로 안알려주시는데 중간 95/기말 90/과제 모두 잘 내서 A+ 받았습니다. 솔직히 배우는 내용은 개론이다보니 쉽고, 교수님이 학생들을 애정하시고 중간중간 좋은 말씀 해주셔서 좋았습니다! 공학개론은 갓연상의 화학생물공학개론🫶🏻"
김연상,23년 2학기 수강자,80%,"강의: 내용 자체가 어렵진 않음. 그냥 가장 기초적인 공정 관련 내용들에 대해 주로 설명해주심. 점심시간 수업이었어서 그런건진 몰라도 거의 항상 일찍 끝내주셨음. 강의 ppt 자체가 교재 내용 복붙이고, 출석을 거의 부르지 않으셔서 수업에 가지 않아도 공부할 때 큰 영향은 없지만, 가끔씩 출석을 부르심. (출석 부르는 날은 보통 그 전 수업시간에 미리 예고하셨음)

과제: 매 챕터가 끝날 때마다 과제가 나와서 총 10번 이상 나왔음. 어려운 문제들은 아니어서 직접 풀어도 되지만, 인터넷에 찾아보면 솔루션 있어서 시간 아낄 수 있음. 가끔씩 엑셀 써서 내야되는 과제들도 있는데 이게 좀 귀찮음.

시험: 이번학기에는 중간 퀴즈, 기말, 오픈북 시험(사실상 과제)가 있었음.중간 퀴즈는 그때까지 진도나간 범위에서 과제 문제 및 수업시간에 푼 예제들로만 나왔음. 기말고사는 전 범위에서 교재의 다른 연습문제들에서 나왔음. 문제 난이도가 어려운 것은 아니지만, 중간과 기말 모두 실수 하나하면 등수가 많이 떨어짐. 시험 점수 분포에서 대략 10% 구간 점수차가 10점 내외로 그냥 문제 하나 틀리면 학점 한단계씩 떨어진다고 보면 될 듯. (학점은 거의 잘라서 주심) 오픈북 같은 경우에는 점수에 크게 영향을 주진 않을 것 같은데, 기말 준비하면서 풀기 좋음."
김연상,23년 2학기 수강자,100%,"공학개론 치우는데 최고의 강의입니다. 물론 과제가 학기중에 10번 나와 귀찮을 수 있는데 대부분 풀기 어렵지 않고 시험공부한다 생각하면 할만했습니다. 그리고 수업을 항상 빨리 끝내십니다. 대부분 15분 일찍 끝내시고 빨리 끝나면 30분 이상 일찍 끝나기도 합니다. 저는 이게 가장 좋았습니다.

 주요 내용은 공정흐름도, 물질수지, 유체역학, 물질전달, 반응공학, 열역학, 공정제어, 경제성분석 등이 있는데 깊게 들어가지 않고 물리학1, 화학1 정도만 알면 다 아는 내용이라 어렵지 않았습니다. 그리고 화생공에서 왜 물리가 화학보다 많이 쓰인다는지 이해했습니다..

 본인 관심분야랑 화학공학 연결하는 보고서 쓰는것도 있는데 귀찮긴 하지만 주말 정도에 날잡고 몰아쓰면 할만합니다. 시험의 경우 과제나 수업때 나가는 예제에서 그대로 가져오시니 이것만 잘 풀어보면 좋은 성적 받을 수 있습니다. *개론이다 보니 던지는 사람들이 많은것 같습니다.

 교수님 엄청 인자하시고 학생들 좋아하시는게 느껴졌습니다. 수업 중간중간 좋은 말씀 많이 해주시는데 저는 인상깊게 들었습니다."
김연상,23년 2학기 수강자,60%,"수업 내용은 중고등학교 수준으로 쉽습니다.
연습문제 풀이 과제가 매주 나와서 귀찮습니다.

공부할 내용은 거의 없는데, 이번 학기부터 추가된 중간 퀴즈, 기말 레포트, 기말 시험과 별도인 오픈북 시험까지 있어서 매우 귀찮았습니다.

새로 배운 내용은 적고, 그냥 귀찮다가 학점은 완전 잘라서 줍니다.

공부 로드는 적고 교수님은 좋으셔서 그래도 3점 주겠습니다."
김연상,23년 2학기 수강자,100%,"전반적으로 강의내용이 딱 개론 수준으로 그렇게 어렵지 않습니다.
과제는 매 챕터 연습문제 + 자기 전공과 화학공학 관련시켜서 10쪽 에세이 + open book exam으로 객관적으로 많은 편이나,  채점이 엄격하지는 않은 듯합니다. 교수님의 강의력은 괜찮고, 성품이 굉장히 인자하십니다. 출석은 가끔 부르시는데, 크게 반영되지는 않습니다. 시험은 중간, 기말 두 번인데 거의 책 예제와 연습 문제에서 나오는 만큼 상위권은 간격이 굉장히 촘촘합니다. 저는 기말에서 1문제 틀려서 중간,기말 합산 21/90이 되었는데 A0를 주신 걸 보면 성적은 343보다 조금 잘 주신 것같습니다. 많은 과제량만 견딜 수 있으시다면 공학개론 치우기에 괜찮은 강의라고 생각합니다."
김연상,23년 2학기 수강자,100%,강추. 매주 서너문제씩 과제 나와서 로드 좀 있긴함. 근데 인터넷에 솔루션 있어서 어렵진 않음. 시험은 두번인데 챕터 끝에 있는 homework 문제보다 예제랑 본문(?) 에 있는 내용 쫌 많이나온 느낌 어려운 문제는 안내시는거 같음. 출석은 다음 시간에 부른다고 하시고 부르심. 교수님께서 중간중간 인생에 도움이 될만한 말씀 해주셔서 좋은 강의인듯
김연상,23년 2학기 수강자,100%,"개꿀 공학개론 걍 치우고 싶으면 무조건 들으셈
레포트 숙제 귀찮긴 한데 안 까먹고 하면 금방 한다
시험 책에서만 나옴 꿀팁은 연습문제 말고 본문에 있는 예제들이 더 많이 나옴 이거 개꿀팁임;;
교재 문제 다 풀고 중간 기말 둘 다 1등함 성적 어케 주시는 몰루
김연상 교수님 내년에도 수업 하실지는 모르겠는데 무튼 김연상 교수님이시면 꼭 화생공개로 들으시길"
김연상,22년 2학기 수강자,80%,"과제가 솔루션이 있음에도 조금 귀찮음,, 엑셀 이용해야하는 과제도 있고.. 시험은 그냥 예제에서 거의 똑같이 나오는 것 같음. 중간중간 한두문제정도 다른 연습문제에서 내시는듯
기말 한방으로 결정된다고 보면 되고 openbook exam은 사실상 구색만 맞춘 느낌 보고서도 그냥 느낌만 보시지 않을까 싶음
학점은 그냥 비율 맞춰서 주시는 것 같음"
김연상,22년 2학기 수강자,100%,"매주 과제가 조금씩 있음 솔루션 존재
Open book exam 한번
Closed book exam 한번
플젝 10페이지 하나

Closed book exam 비율 제일 높음
충분히 만점 맞을수 있는 시험
책 예제 연습문제 그대로 나옴
다만 타임어택"
