Professor,Semester,Rating,Text
김지혜,24년 1학기 수강자,80%,조교 by 조교. 결국 총점에서 깎이는 점수대로 등급이 나가니 좋은 조교가 걸릴 때 점수를 만점 받아둬야 함.
김지혜,24년 1학기 수강자,100%,"걍 조교운빨뽑기. 
다른 친구들 얘기 들어보니 저희 분반은 좋았던 것 같습니다."
이승훈,24년 1학기 수강자,100%,화실 1… 빡세지만 족보 구하거나 영과고 출신이면 정말 쉬울 것이고 아니여도 열심히 하시면 A+ 충분히 노릴 수 있습니다! 조교님 배정운이 가장 중요하긴해요
홍승윤,24년 1학기 수강자,60%,"물실과 비교하면 너무나 비교되는 과목
미루다 S/U로 바뀌면 들었어야 했다"
홍승윤,24년 1학기 수강자,20%,정말~~~~거지같은과목~~~~매주보고서를쓰는~~~~~그치만필교인걸~~~~~그냥대충치우세요여러분
홍승윤,24년 1학기 수강자,100%,"화학 기초가 전혀 없는 상황에서 들어서 실험마다 이론 공부를 따로 해야하는게 너무 고통스러웠지만,, 그래도 확실히 많이 배운 것 같긴 합니다. 화학1도 같이 들었는데 화실에서 보고서 쓰면서 계산한 과정이 화학1 시험 공부할때 도움이 많이 되었던 거 같아요. 조교님들은 다들 좋으셨고, 오티 때 주신 평가기준 맞춰서 작성했더니 성적도 나름 잘 주신 것 같아요."
주상훈,23년 1학기 수강자,60%,"시작 별점 : 5점
(-1) 자주 고장나는 실험 도구.
(-1) 매 실험마다 채점 조교도, 채점 기준도, 과제도 달라지는데 학점 부여는 절대평가인 납득하기 어려운 평가 방식.
(-1) 실험 과목답게 어마어마한 로드.
(+1) 그래도 조교님들 모두 열정적이고 친절하심!

최종평 : 실험과목이 다 그렇지 뭐... 서울대 공대/자연대에 온 걸 환영한다 아쎄이!"
Unknown,21년 1학기 수강자,100%,"힘들었지만 성적이 잘 나왔으므로 별 5개
질문할 때마다 조교님들께서 정말 친절하게 설명해주셨습니다
조교님들께 너무 감사합니다.."
이윤호,22년 1학기 수강자,100%,어차피 조교님들은 매 실험마다 바뀌지만.. 다들 너무 친절하시고 질문에도 친절하게 답변해주셔서 좋았음. 분량이나 출처 표시에만 신경쓰면 충분히 에이쁠 가능
이남기,23년 1학기 수강자,20%,"화학실험은 삶의 질을 떨어뜨리는 가장 효율적인 방법입니다. 실험 8번, 매 실험마다 예비보고서/랩노트/결과보고서 작성하며 3번이상 미제출시 F입니다. 도망...ㅊ.."
